PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%,POS,BODY FAT %,HAND LENGTH (INCHES),HAND WIDTH (INCHES),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
Brook Lopez,MIL,32,7'0,282,Stanford,USA,2008,1,10,61,11.0,4.5,1.6,12.4,2.50%,11.90%,17.30%,53.70%,7.60%,C,6.30%,-,-,6' 11.25'',7' 0.5'',9' 5'',258,7' 5.5''
Bruce Brown,DET,23,6'4,202,Miami,USA,2018,2,42,58,8.9,4.7,4.0,4.3,3.80%,13.10%,15.90%,51.80%,20.80%,SG-PG,3.75%,8.5,8.5,6' 3.5'',6' 5'',8' 2.5'',194.6,6' 9''
Bruno Fernando,ATL,21,6'9,240,Maryland,Angola,2019,2,34,56,4.3,3.5,0.9,5.6,8.50%,17.90%,14.70%,54.20%,10.10%,C,5.40%,9.25,10,6' 8.75'',6' 10.25'',9' 2'',237,7' 3.25''
Buddy Hield,SAC,27,6'4,220,Oklahoma,Bahamas,2016,1,6,64,19.8,4.8,3.1,2.0,2.70%,12.40%,26.10%,56.60%,15.40%,SG,6.10%,8.5,9,6' 3.75'',6' 5'',8' 5'',212.4,6' 9.25''
CJ McCollum,POR,28,6'3,190,Lehigh,USA,2013,1,10,62,22.5,4.1,4.3,0.8,1.70%,8.60%,26.30%,54.30%,18.60%,PG-SG,8.60%,8,9.5,6' 2.25'',6' 3.25'',8' 0.5'',197,6' 6.25''
Caleb Martin,CHA,24,6'5,205,None,USA,Undrafted,Undrafted,Undrafted,18,6.2,2.1,1.3,0.8,3.00%,8.60%,15.20%,59.50%,12.20%,SF-SG,7.00%,8.5,8.75,6' 4.75'',6' 6'',8' 5.5'',195.8,6' 10''
Caleb Swanigan,POR,23,6'9,260,Purdue,USA,2017,1,26,27,2.4,3.7,1.1,6.5,9.90%,24.80%,13.20%,59.70%,13.80%,PF,-%,9.5,10.25,6' 7.5'',6' 8.5'',9' 0'',245.6,7' 3''
Cameron Johnson,PHX,24,6'8,210,North Carolina,USA,2019,1,11,49,8.1,2.9,1.1,2.7,3.70%,10.10%,15.40%,57.60%,7.80%,SG,5.80%,8,8.5,6' 7'',6' 8.5'',8' 7'',205.2,6' 10''
Caris LeVert,BKN,25,6'6,205,Michigan,USA,2016,1,20,39,17.7,4.1,4.1,0.1,3.20%,9.50%,27.70%,50.90%,22.90%,SG,7.55%,8.5,9.25,6' 5.75'',6' 7'',8' 5'',191,6' 10''
Carmelo Anthony,POR,36,6'8,238,Syracuse,USA,2003,1,3,50,15.3,6.3,1.6,0.3,3.70%,14.20%,21.80%,51.70%,6.90%,SF,8.00%,-,-,6' 6.25'',,8' 9.5'',233,7' 0''
