PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%,POS,BODY FAT %,HAND LENGTH (INCHES),HAND WIDTH (INCHES),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
Gorgui Dieng,MEM,30,6'10,252,Louisville,Senegal,2013,1,21,58,7.4,5.8,1.2,3.9,7.60%,22.70%,17.60%,56.40%,11.50%,C,5.35%,9,10,6' 9.75'',6' 10.75'',9' 3.5'',229.6,7' 3.5''
Grant Williams,BOS,21,6'6,236,Tennessee,USA,2019,1,22,62,3.5,2.7,1.0,7.4,5.60%,10.30%,11.00%,50.80%,8.40%,PF,5.40%,9,10.5,6' 5.75'',6' 7.5'',8' 8.5'',240.2,6' 9.75''
Grayson Allen,MEM,24,6'4,198,Duke,USA,2018,1,21,30,7.4,2.2,1.4,6.5,0.90%,11.80%,17.30%,57.70%,11.90%,SG,5.55%,8.25,10,6' 3'',6' 4.5'',8' 1'',198,6' 7.25''
Hamidou Diallo,OKC,21,6'5,202,Kentucky,USA,2018,2,45,38,6.1,3.2,0.6,1.9,4.00%,11.90%,16.40%,48.80%,4.50%,SG,4.45%,8.75,9,6' 4.25'',6' 6'',8' 7'',197,6' 11.5''
Harrison Barnes,SAC,28,6'8,225,North Carolina,USA,2012,1,7,64,14.7,4.8,2.4,1.2,2.70%,10.80%,17.20%,57.50%,9.80%,SF-SG,9.60%,9,8.5,6' 7'',6' 8'',8' 5.5'',227.8,6' 11.25''
Hassan Whiteside,POR,31,7'0,265,Marshall,USA,2010,2,33,61,16.3,14.2,1.2,2.3,12.30%,29.60%,19.50%,64.10%,5.80%,C-PF,5.50%,8.25,10.25,6' 10.5'',6' 11.5'',9' 5'',226.6,7' 7''
Henry Ellenson,BKN,23,6'10,240,Marquette,USA,2016,1,18,5,0.4,1.2,0.2,27.3,11.10%,19.00%,15.90%,14.30%,12.50%,PF,11.20%,8.5,9.75,6' 10'',6' 11.5'',9' 0'',242,7' 2.25''
Ignas Brazdeikis,NYK,21,6'6,221,Michigan,Lithuania,2019,2,47,9,1.9,0.6,0.4,7.1,3.60%,6.80%,21.80%,35.10%,11.40%,SF,6.00%,8.75,9.5,6' 5.75'',6' 7.25'',8' 6'',220.8,6' 9.25''
Iman Shumpert,BKN,30,6'5,212,Georgia Tech,USA,2011,1,17,13,4.2,2.6,0.9,9.0,3.50%,9.20%,13.40%,40.30%,7.80%,PG-SG,6.50%,9,9,6' 4.25'',6' 5.5'',8' 3.5'',221.8,6' 9.5''
Isaiah Roby,OKC,22,6'8,230,University of Nebraska'Lincoln,USA,2019,2,45,3,0.0,0.7,0.0,11.5,0.00%,16.70%,7.10%,0.00%,0.00%,PF,3.90%,9,10.5,6' 7.25'',6' 8.5'',8' 10'',214,7' 1''
Isaiah Thomas,WAS,31,5'9,185,Washington,USA,2011,2,60,40,12.2,1.7,3.7,10.4,1.10%,6.30%,23.60%,53.10%,22.40%,PG,6.70%,8.25,9,5' 8.75'',5' 10.25'',7' 7.5'',186,6' 1.75''
JJ Redick,NOP,36,6'3,200,Duke,USA,2006,1,11,54,14.9,2.6,2.0,0.2,0.60%,8.60%,19.30%,63.90%,10.60%,SG,7.00%,-,-,6' 4'',6' 4.75'',8' 1.5'',190,6' 3.25''
Ja Morant,MEM,20,6'3,174,Murray State,USA,2019,1,2,59,17.6,3.5,6.9,0.4,2.50%,8.20%,25.80%,56.80%,34.80%,PG,-%,-,-,,,,-,
JaMychal Green,LAC,30,6'8,227,Alabama,USA,Undrafted,Undrafted,Undrafted,55,6.5,6.3,0.8,5.3,6.10%,21.00%,12.90%,55.40%,5.10%,PF,9.80%,9.25,9.25,6' 8'',6' 9'',8' 10.5'',217.4,7' 2.25''
JaVale McGee,LAL,32,7'0,270,Nevada'Reno,USA,2008,1,18,61,6.8,5.8,0.6,8.9,11.00%,21.60%,14.60%,65.50%,4.40%,C-PF,5.30%,-,-,6' 11'',7' 0'',9' 6.5'',241,7' 6''
Jacob Evans,MIN,23,6'4,210,Cincinnati,USA,2018,1,28,29,4.4,1.4,1.1,11.0,1.90%,7.70%,16.70%,43.60%,12.00%,SG-SF,6.50%,9,9.25,6' 4.25'',6' 5.5'',8' 6.5'',199.6,6' 9.25''
Jae Crowder,MIA,29,6'6,235,Marquette,USA,2012,2,34,58,10.4,6.1,2.6,3.7,2.70%,17.10%,15.30%,53.20%,12.00%,SF,9.00%,9.5,10.5,6' 4.75'',6' 6.5'',8' 3.5'',241.2,6' 9.25''
Jake Layman,MIN,26,6'8,209,Maryland,USA,2016,2,47,23,9.1,2.5,0.7,2.0,3.00%,7.50%,16.50%,54.40%,4.10%,SF,7.10%,8.25,9.25,6' 8'',6' 9.25'',8' 6'',208.6,6' 9.25''
Jakob Poeltl,SAS,24,7'1,245,Utah,Austria,2016,1,9,58,5.3,5.3,1.8,3.9,10.20%,19.80%,12.50%,61.10%,13.60%,C,5.80%,9.25,10.25,7' 0.25'',7' 1'',9' 3.5'',239,7' 2.75''
Jalen Brunson,DAL,23,6'1,190,Villanova,USA,2018,2,33,57,8.2,2.4,3.3,7.6,2.10%,10.00%,19.90%,55.30%,26.50%,PG,6.70%,8.25,9.25,6' 1'',6' 2.25'',8' 0'',198.4,6' 4''
Jalen Lecque,PHX,20,6'4,185,None,USA,Undrafted,Undrafted,Undrafted,4,2.5,0.0,0.5,29.1,0.00%,0.00%,21.40%,46.00%,13.30%,PG,4.00%,8.75,8.5,6' 2.5'',6' 4.25'',8' 2.5'',185.2,6' 8.5''
Jalen McDaniels,CHA,22,6'10,205,San Diego State,USA,2019,2,52,16,5.6,4.1,0.8,3.6,5.00%,17.20%,13.10%,57.40%,6.90%,SF,5.70%,9,10,6' 8.25'',6' 9.75'',8' 9.5'',191.6,7' 0.25''
James Harden,HOU,30,6'5,220,Arizona State,USA,2009,1,3,61,34.4,6.4,7.4,5.6,2.60%,13.20%,35.80%,61.60%,35.60%,SG,10.10%,-,-,6' 4'',6' 5.25'',8' 7.5'',222,6' 10.75''
James Johnson,MIN,33,6'7,240,Wake Forest,USA,2009,1,16,32,8.4,3.7,2.3,4.6,3.80%,14.50%,18.60%,57.20%,17.70%,SF-PF,12.00%,-,-,6' 7'',6' 7.75'',8' 9.5'',257.2,7' 0.75''
Jared Dudley,LAL,34,6'6,237,Boston College,USA,2007,1,22,40,1.5,1.1,0.5,2.5,1.60%,11.30%,8.00%,57.00%,8.60%,SF,7.10%,-,-,6' 5'',6' 7.25'',8' 6'',219,6' 7''
Jared Harper,NYK,22,5'10,175,None,USA,Undrafted,Undrafted,Undrafted,3,0.7,0.0,0.0,61.1,0.00%,0.00%,22.20%,25.00%,0.00%,PG,3.90%,8.25,9.5,5' 9.75'',5' 11'',7' 10'',169.2,6' 5.5''
Jarrett Allen,BKN,22,6'11,243,Texas,USA,2017,1,22,64,10.6,9.5,1.3,0.5,10.90%,22.80%,14.80%,65.80%,7.50%,C,7.40%,9.5,10.5,6' 9'',6' 10.25'',9' 1.5'',233.6,7' 5.25''
Jarrett Culver,MIN,21,6'6,195,Texas Tech,USA,2019,1,6,63,9.2,3.4,1.7,3.3,4.10%,9.20%,18.70%,46.70%,10.50%,SG,5.00%,8.25,8.5,6' 5.25'',6' 6.75'',8' 4.5'',194.2,6' 9.5''
Jarrod Uthoff,WAS,27,6'9,220,Iowa,USA,Undrafted,Undrafted,Undrafted,4,1.0,0.3,0.0,24.4,7.10%,0.00%,20.50%,25.40%,0.00%,PF,6.00%,8.75,9,6' 8.5'',6' 9.75'',8' 8'',214.4,6' 11.5''
Jaxson Hayes,NOP,20,6'11,220,Texas,USA,2019,1,8,56,7.5,4.0,0.9,2.1,8.10%,13.70%,14.80%,67.50%,7.70%,PF,5.00%,9.25,10.5,6' 10.25'',6' 11.5'',9' 2.5'',218.6,7' 3.5''
Jaylen Brown,BOS,23,6'6,223,California,USA,2016,1,3,50,20.4,6.4,2.2,6.5,3.10%,14.80%,24.50%,58.90%,10.00%,SG-SF,5.05%,8.75,9,6' 5.25'',6' 6.75'',8' 6.5'',222.8,6' 11.75''
Jaylen Nowell,MIN,20,6'4,201,Washington,USA,2019,2,43,15,3.8,0.9,1.3,1.2,1.60%,6.50%,16.50%,47.10%,19.40%,SG,6.10%,8.25,8.5,6' 3.25'',6' 4.25'',8' 2'',202.4,6' 7.25''
Jeff Green,HOU,33,6'8,235,Georgetown,USA,2007,1,5,40,8.4,2.8,0.8,2.7,3.00%,11.20%,18.50%,57.50%,6.50%,SF,3.70%,-,-,6' 7'',6' 9.5'',8' 7'',228,7' 1.25''
Jeff Teague,ATL,32,6'3,195,Wake Forest,USA,2009,1,19,59,10.9,2.4,5.2,5.7,1.70%,7.40%,19.20%,55.70%,30.60%,PG,4.50%,-,-,6' 0.25'',6' 1.5'',8' 2.5'',175.2,6' 7.5''
Jerami Grant,DEN,26,6'8,210,Syracuse,USA,2014,2,39,64,11.6,3.5,1.2,2.1,3.20%,10.20%,17.60%,58.50%,6.90%,SF,3.75%,9.25,9.25,6' 6.5'',6' 7.75'',8' 11'',214,7' 2.75''
Jeremy Lamb,IND,28,6'5,180,Connecticut,USA,2012,1,12,46,12.5,4.3,2.1,0.9,1.90%,13.50%,19.50%,54.70%,10.70%,SG,4.50%,8.75,9.25,6' 4'',6' 5.25'',8' 6'',179.2,6' 11''
Jeremy Pargo,GSW,34,6'2,219,Gonzaga,USA,Undrafted,Undrafted,Undrafted,3,8.3,1.0,2.7,2.4,2.40%,4.80%,26.80%,55.70%,30.80%,PG,7.60%,-,-,6' 0.5'',6' 1.5'',8' 0'',208,6' 5''
Jerome Robinson,WAS,23,6'4,190,Boston College,USA,2018,1,13,55,3.7,1.9,1.2,2.2,1.10%,11.50%,13.90%,43.90%,11.70%,SG,6.05%,9,10,6' 4'',6' 5'',8' 2'',188.4,6' 7.25''
Jevon Carter,PHX,24,6'1,200,West Virginia,USA,2018,2,32,50,4.6,2.0,1.3,3.8,3.30%,9.50%,13.80%,53.50%,12.90%,PG,4.15%,9.25,8.5,6' 0.25'',6' 1.5'',7' 11'',196.2,6' 4.25''
Jimmy Butler,MIA,30,6'7,230,Marquette,USA,2011,1,30,54,20.2,6.6,6.1,4.9,5.40%,13.70%,24.80%,58.30%,28.40%,SF,5.40%,9,9,6' 6'',6' 7.75'',8' 5.5'',222.2,6' 7.5''
Joe Harris,BKN,28,6'6,220,Virginia,USA,2014,2,33,63,13.9,4.3,2.1,1.6,2.80%,10.00%,17.60%,59.20%,9.80%,SG,6.20%,8.5,9.75,6' 4.75'',6' 6.25'',8' 4'',215,6' 6''
Joe Ingles,UTA,32,6'7,220,None,Australia,Undrafted,Undrafted,Undrafted,64,9.8,4.0,5.2,5.8,1.20%,11.40%,14.70%,58.80%,24.00%,SF,10.10%,-,-,6' 7.75'',6' 8.25'',8' 9'',209.2,6' 10.25''
John Collins,ATL,22,6'9,235,Wake Forest,USA,2017,1,19,41,21.6,10.1,1.5,5.1,8.00%,20.80%,22.40%,65.90%,7.50%,PF,5.40%,9,10,6' 8.25'',6' 9.5'',8' 10.5'',225.2,6' 11.25''
John Henson,DET,29,6'9,219,North Carolina,USA,2012,1,14,40,5.5,4.1,1.4,0.7,7.70%,19.10%,16.00%,57.80%,13.30%,PF,8.60%,9.25,10,6' 9'',6' 10.5'',9' 4'',216,7' 5''
Johnathan Motley,LAC,25,6'8,230,Baylor,USA,Undrafted,Undrafted,Undrafted,13,2.2,0.8,0.6,5.7,7.70%,18.90%,23.50%,77.40%,30.80%,PF,-%,9,9.5,6' 7.75'',6' 8.75'',9' 0'',238.2,7' 4''
Jordan Bell,CLE,25,6'8,216,Oregon,USA,2017,2,38,29,3.2,2.8,0.6,1.6,11.00%,18.70%,15.90%,57.70%,9.00%,PF,5.40%,9.25,9.5,6' 7'',6' 8.5'',8' 8.5'',223.6,6' 11.75''
Jordan Bone,DET,22,6'3,180,Tennessee,USA,2019,2,57,10,1.2,0.4,0.8,2.9,0.00%,9.10%,17.10%,30.00%,23.50%,SG,5.00%,7.5,9.25,6' 1.5'',6' 2.75'',7' 11'',179,6' 3.25''
Jordan Clarkson,UTA,28,6'4,194,Missouri,USA,2014,2,46,63,15.1,2.7,2.0,0.4,3.00%,7.60%,24.60%,58.30%,13.10%,PG,4.30%,8.25,9,6' 3.25'',6' 5'',8' 2'',186.3,6' 8''
Jordan McRae,DET,29,6'5,179,Tennessee,USA,2014,2,58,37,11.5,3.4,2.5,4.1,2.20%,13.90%,23.90%,51.50%,17.40%,SG,5.20%,8.75,8.5,6' 3.75'',6' 5.25'',8' 8'',179.4,7' 0.5''
Jordan Poole,GSW,21,6'4,194,Michigan,USA,2019,1,28,57,8.8,2.1,2.4,8.2,0.70%,8.70%,20.00%,45.40%,16.00%,SG,7.50%,8.25,8.5,6' 3.5'',6' 5.5'',8' 3.5'',190.8,6' 6.75''
Josh Hart,NOP,25,6'5,215,Villanova,USA,2017,1,30,57,10.2,6.5,1.6,2.9,3.10%,19.00%,14.90%,55.60%,8.20%,SG-SF,5.80%,8.5,9.5,6' 3.75'',6' 5'',8' 5'',209.2,6' 8.25''
Josh Okogie,MIN,21,6'4,213,Georgia Institute of Technology,Nigeria,2018,1,20,62,8.6,4.3,1.6,4.7,5.00%,11.40%,14.80%,55.30%,8.90%,SG,5.20%,9,9.75,6' 3'',6' 4.5'',8' 6'',210.8,7' 0''
Jrue Holiday,NOP,30,6'3,205,UCLA,USA,2009,1,17,55,19.6,4.9,6.9,0.6,3.40%,9.60%,24.40%,53.50%,28.90%,PG-SG,6.30%,-,-,6' 3.25'',6' 4.25'',8' 4.5'',199,6' 7''
Julius Randle,NYK,25,6'8,250,Kentucky,USA,2014,1,7,64,19.5,9.7,3.1,5.9,6.70%,22.30%,27.10%,53.80%,15.80%,PF,9.40%,8.75,8.25,6' 7.75'',6' 9'',8' 9.5'',249.7,7' 0''
Justin Anderson,BKN,26,6'5,231,Virginia,USA,2015,1,21,3,1.0,0.7,0.0,25.4,0.00%,9.10%,15.90%,21.80%,0.00%,SF-SG,5.00%,8.5,9.5,6' 5.25'',6' 6.25'',8' 5'',230.6,6' 11.75''
Justin Jackson,DAL,25,6'7,220,North Carolina,USA,2017,1,15,58,5.7,2.4,0.8,0.7,2.70%,12.00%,15.30%,49.80%,7.20%,PF,8.90%,9,9.5,6' 6'',6' 6.75'',8' 9'',229.4,7' 3''
Justin Patton,DET,23,6'11,241,Creighton,USA,2017,1,16,5,1.8,1.0,0.4,32.0,4.20%,17.40%,19.40%,45.00%,11.10%,C,7.80%,8.75,9.75,6' 10'',6' 11.25'',9' 3.5'',229,7' 3''
Justise Winslow,MEM,24,6'6,222,Duke,USA,2015,1,10,11,11.3,6.6,4.0,6.4,4.30%,15.40%,19.00%,44.00%,18.30%,SF,5.30%,8.5,9.25,6' 4.5'',6' 6.5'',8' 8.5'',221.8,6' 10.25''
KZ Okpala,MIA,21,6'8,215,Stanford,USA,2019,2,32,5,1.4,1.0,0.2,31.7,3.80%,16.00%,10.20%,59.50%,7.70%,SF,4.60%,9.25,9.25,6' 7.25'',6' 9.5'',8' 10.5'',209.6,7' 1.75''
Kadeem Allen,NYK,27,6'1,200,Arizona,USA,2017,2,53,10,5.0,0.9,2.1,10.1,1.60%,6.50%,19.10%,51.20%,25.90%,PG,6.40%,8.5,8.75,6' 1'',6' 2.25'',8' 3.5'',192.4,6' 9.25''
Kawhi Leonard,LAC,29,6'7,225,San Diego State,USA,2011,1,15,51,26.9,7.3,5.0,11.4,3.00%,18.00%,32.80%,58.50%,26.20%,SF,5.40%,9.75,11.25,6' 6'',6' 7'',8' 10'',227.4,7' 3''
Keldon Johnson,SAS,20,6'5,220,Kentucky,USA,2019,1,29,9,4.6,1.9,0.7,13.7,5.50%,12.10%,18.10%,57.90%,9.10%,SG,5.60%,8,9.25,6' 4.75'',6' 6'',8' 8'',216.4,6' 9.25''
Kelly Olynyk,MIA,29,6'11,240,Gonzaga,Canada,2013,1,13,59,7.7,4.4,1.6,2.9,3.40%,19.20%,15.90%,64.00%,13.00%,PF-C,6.65%,8.5,10,6' 10.75'',7' 0'',9' 0'',234,6' 9.75''
Kemba Walker,BOS,30,6'0,184,Connecticut,USA,2011,1,9,50,21.2,4.1,4.9,7.5,2.00%,10.40%,27.30%,56.90%,23.30%,PG,5.90%,8,9,5' 11.5'',6' 1'',7' 7.5'',184,6' 3.5''
Kenrich Williams,NOP,25,6'6,210,None,USA,Undrafted,Undrafted,Undrafted,35,3.8,5.1,1.5,2.3,5.60%,15.80%,9.00%,43.00%,8.80%,SF,5.95%,8.5,9.75,6' 6'',6' 7.5'',8' 7.5'',200.4,6' 7.25''
Kevin Hervey,OKC,23,6'9,230,Texas'Arlington,USA,2018,2,57,7,0.3,0.3,0.1,13.3,0.00%,10.00%,22.00%,9.10%,10.00%,PF,5.15%,9.25,10.25,6' 6.5'',6' 7.75'',8' 11'',211.6,7' 3.5''
Kevin Huerter,ATL,21,6'7,190,Maryland,USA,2018,1,19,56,12.2,4.1,3.8,6.1,1.90%,10.60%,16.90%,53.60%,17.10%,SG,8.60%,8.25,8.5,6' 6.25'',6' 7.25'',8' 5.5'',194,6' 7.5''
Kevin Love,CLE,31,6'8,251,UCLA,USA,2008,1,5,56,17.6,9.8,3.2,8.0,3.00%,28.60%,22.50%,59.90%,15.00%,PF,12.90%,-,-,6' 7.75'',6' 9.5'',8' 10'',255,6' 11.25''
Kevin Porter Jr.,CLE,20,6'4,203,USC,USA,2019,1,30,50,10.0,3.2,2.2,11.2,1.80%,12.10%,20.20%,53.50%,14.70%,SG,5.10%,8.75,8.75,6' 4'',6' 5.5'',8' 7'',212.6,6' 9''
Kevon Looney,GSW,24,6'9,222,UCLA,USA,2015,1,30,20,3.4,3.3,1.0,18.3,9.80%,15.10%,14.70%,40.30%,12.00%,PF,11.90%,9.5,9.25,6' 8'',6' 9.25'',9' 2'',222.4,7' 3.5''
Khem Birch,ORL,27,6'9,233,UNLV,Canada,Undrafted,Undrafted,Undrafted,40,3.8,4.5,0.9,6.2,8.10%,14.50%,9.20%,52.90%,6.50%,PF,6.00%,9,8.5,6' 7.5'',6' 9.25'',8' 11'',208.8,7' 1''
Khris Middleton,MIL,28,6'7,222,Texas A&M,USA,2012,2,39,55,21.1,6.2,4.1,13.8,2.30%,15.60%,25.90%,61.90%,20.00%,SF,7.80%,9,9,6' 6.75'',6' 8.25'',8' 7'',216.2,6' 10.75''
Khyri Thomas,DET,24,6'3,210,Creighton,USA,2018,2,38,8,2.1,0.1,0.4,28.7,1.20%,0.00%,14.90%,45.30%,9.70%,SG,6.40%,8.75,9.25,6' 2.5'',6' 3.75'',8' 5'',198.8,6' 10.5''
Kostas Antetokounmpo,LAL,22,6'10,200,University of Dayton,Greece,2018,2,60,3,0.0,0.3,0.3,16.7,0.00%,33.30%,0.00%,0.00%,16.70%,PF,5.00%,9.25,9.5,6' 9'',6' 10.5'',9' 2'',194.8,7' 2.25''
Kris Dunn,CHI,26,6'3,205,Providence,USA,2016,1,5,51,7.3,3.6,3.4,0.1,1.70%,13.20%,14.50%,51.00%,19.80%,PG,-%,-,-,6' 3'',6' 4.25'',8' 4'',0,6' 9.5''
Ky Bowman,GSW,23,6'1,187,None,USA,Undrafted,Undrafted,Undrafted,45,7.4,2.7,2.9,8.4,2.20%,9.30%,16.80%,49.40%,20.20%,PG,4.90%,8.25,9,6' 1'',6' 2.25'',8' 2'',181.2,6' 7''
Kyle Anderson,MEM,26,6'9,230,UCLA,USA,2014,1,30,59,5.7,4.4,2.2,4.1,4.60%,15.60%,13.20%,54.20%,15.60%,SF,13.35%,8.25,8.75,6' 7.5'',6' 8.5'',8' 11.5'',230.1,7' 2.75''
Kyle Guy,SAC,22,6'1,167,Virginia,USA,2019,2,55,2,1.0,0.0,0.0,30.0,0.00%,0.00%,20.00%,50.00%,0.00%,SG,5.70%,8,8.75,6' 0.75'',6' 2.25'',7' 11.5'',167.8,6' 4.5''
Kyle Korver,MIL,39,6'7,212,Creighton,USA,2003,2,51,50,6.7,2.1,1.2,7.9,1.60%,8.80%,14.70%,61.30%,9.30%,SF,6.70%,-,-,6' 6.25'',,8' 6.5'',211,6' 9.5''
Kyle Kuzma,LAL,24,6'8,221,Utah,USA,2017,1,27,54,12.5,4.5,1.3,5.3,3.50%,13.40%,22.40%,52.20%,7.50%,SF-SG,9.40%,8.5,9.5,6' 8'',6' 9.5'',8' 11.5'',222.6,7' 0.25''
Kyle O'Quinn,PHI,30,6'9,250,Norfolk State,USA,2012,2,49,26,3.3,3.8,1.3,8.9,11.20%,25.90%,15.40%,54.10%,19.20%,PF,8.00%,9.5,10,6' 8.5'',6' 10'',8' 10.5'',240.8,7' 4.75''
Kyrie Irving,BKN,28,6'2,195,Duke,Australia,2011,1,1,20,27.4,5.2,6.4,0.4,3.20%,12.00%,31.80%,59.50%,33.10%,PG,10.20%,8.25,9.25,6' 1.75'',6' 3.5'',8' 3'',191,6' 4''
LaMarcus Aldridge,SAS,34,6'11,250,Texas,USA,2006,1,2,53,18.9,7.4,2.4,3.2,5.80%,16.20%,23.60%,57.10%,11.70%,PF-C,8.70%,-,-,6' 10'',6' 11.25'',9' 2'',234,7' 4.75''
Landry Shamet,LAC,23,6'4,190,Wichita State,USA,2018,1,26,47,9.7,1.9,1.9,4.9,0.40%,5.80%,13.10%,59.90%,8.90%,PG,4.85%,8,9,6' 4'',6' 5.25'',8' 4'',188.6,6' 6.75''
LeBron James,LAL,35,6'9,250,None,USA,2003,1,1,60,25.7,7.9,10.6,10.3,2.80%,18.70%,30.80%,58.20%,48.10%,SF-SG,6.70%,-,-,6' 7.25'',,8' 10.25'',245,7' 0.25''
Louis King,DET,21,6'7,205,None,USA,Undrafted,Undrafted,Undrafted,10,2.0,1.0,0.5,11.0,1.50%,14.10%,16.30%,44.80%,12.50%,SF,4.80%,8,8.5,6' 6.75'',6' 8'',8' 8.5'',195.2,7' 0.25''
Luguentz Dort,OKC,21,6'3,215,Arizona State,Canada,Undrafted,Undrafted,Undrafted,29,6.2,1.9,0.7,4.6,2.40%,5.80%,12.80%,52.10%,4.40%,PG,5.00%,8.5,9,6' 2.75'',6' 4.25'',8' 3.5'',222.2,6' 8.5''
Luka Samanic,SAS,20,6'10,227,None,Croatia,2019,1,19,1,0.0,2.0,3.0,26.9,0.00%,13.30%,15.40%,0.00%,33.30%,PF,5.60%,8.5,9,6' 9.5'',6' 11'',8' 11'',227.2,6' 10.5''
Luke Kennard,DET,24,6'5,206,Duke,USA,2017,1,12,28,15.8,3.5,4.1,2.1,1.00%,9.50%,19.30%,58.90%,18.80%,SG-SF,6.60%,8,8.75,6' 4.5'',6' 5.5'',8' 2.5'',196.2,6' 5.25''
Malcolm Brogdon,IND,27,6'5,229,Virginia,USA,2016,2,36,48,16.3,4.7,7.1,2.9,2.80%,12.30%,24.70%,53.70%,35.30%,SG,5.40%,9,10.25,6' 3.75'',6' 5.5'',8' 2'',223,6' 10.5''
Malik Beasley,MIN,23,6'4,187,Florida State,USA,2016,1,19,55,11.2,2.7,1.4,1.9,1.40%,10.70%,20.80%,54.60%,9.30%,SG,6.90%,8.5,9,6' 3.5'',6' 4.5'',8' 4.5'',189.8,6' 7''
Malik Newman,CLE,23,6'3,190,Kansas,USA,Undrafted,Undrafted,Undrafted,1,2.0,0.0,0.0,30.4,0.00%,0.00%,57.10%,34.70%,0.00%,SG,6.25%,8.5,9.5,6' 2.5'',6' 3.25'',8' 2.5'',189.2,6' 5.5''
Marcus Smart,BOS,26,6'3,220,Oklahoma State,USA,2014,1,6,53,13.5,3.8,4.8,6.7,2.10%,8.90%,18.70%,51.90%,21.40%,PG,10.55%,9,8.75,6' 2'',6' 3.25'',8' 3'',227.2,6' 9.25''
Marial Shayok,PHI,24,6'5,198,Iowa State,Canada,2019,2,54,2,1.5,1.5,0.5,40.0,0.00%,27.30%,21.40%,30.00%,11.10%,SF-PF,4.70%,8.75,9.25,6' 4.5'',6' 5.5'',8' 7.5'',196.8,7' 0.25''
Markelle Fultz,ORL,22,6'3,209,Washington,USA,2017,1,1,64,12.1,3.3,5.2,1.5,1.80%,9.90%,20.50%,52.30%,27.00%,PG,-%,-,-,,,,-,
Markieff Morris,LAL,30,6'8,245,Kansas,USA,2011,1,13,52,10.1,3.8,1.4,5.5,3.00%,14.40%,20.50%,56.80%,10.20%,PF,10.20%,8.5,8.25,6' 7.75'',6' 9.25'',8' 10.5'',240.8,6' 10.75''
Marquese Chriss,GSW,22,6'9,240,Washington,USA,2016,1,8,59,9.3,6.2,1.9,9.5,8.90%,21.20%,18.40%,60.40%,15.00%,PF,8.50%,9,9,6' 8.75'',6' 10'',8' 9'',233,7' 0.25''
Marvin Williams,MIL,34,6'8,237,North Carolina,USA,2005,1,2,52,6.1,2.8,1.1,3.8,1.90%,12.60%,12.50%,58.50%,8.00%,PF-SF,-%,-,-,6' 7'',6' 8.25'',9' 0'',228.2,7' 3.5''
Mason Plumlee,DEN,30,6'11,254,Duke,USA,2013,1,22,53,7.2,5.3,2.4,0.8,9.20%,19.90%,17.60%,61.50%,19.80%,C-PF,6.15%,9.75,9.5,6' 11.25'',7' 0.5'',9' 0'',238.2,6' 11''
Maurice Harkless,NYK,27,6'7,220,"St. John's, N.Y.",USA,2012,1,15,62,5.8,3.9,1.1,1.2,3.80%,11.70%,10.50%,57.20%,6.20%,SF,5.30%,9.25,10.25,6' 7.25'',6' 8.75'',8' 6.5'',206.6,7' 0''
Meyers Leonard,MIA,28,7'0,260,Illinois,USA,2012,1,11,49,6.1,5.1,1.1,5.6,2.90%,21.70%,12.00%,64.00%,7.60%,C,5.70%,9.25,11,6' 11.75'',7' 1.25'',9' 0'',249.8,7' 3''
Mfiondu Kabengele,LAC,22,6'9,250,Florida State,Canada,2019,1,27,12,3.5,0.9,0.2,0.8,1.70%,15.90%,24.20%,61.40%,5.00%,PF,5.10%,9.25,10.75,6' 8.75'',6' 10.25'',9' 1.5'',256.2,7' 3''
Mike Conley,UTA,32,6'1,175,Ohio State,USA,2007,1,4,41,13.8,3.2,4.3,1.6,2.30%,8.60%,22.20%,52.70%,23.50%,PG,4.20%,-,-,5' 11'',6' 0.75'',7' 10.5'',175,6' 5.75''
Mike Muscala,OKC,28,6'10,240,Bucknell,USA,2013,2,44,41,4.6,2.3,0.8,2.6,2.60%,16.10%,15.80%,56.00%,10.40%,C-PF,6.80%,8.5,9,6' 10.25'',6' 11.5'',9' 0'',230.2,7' 1''
Mike Scott,PHI,31,6'7,237,Virginia,USA,2012,2,43,63,5.7,3.6,0.8,4.6,5.00%,14.70%,13.00%,53.90%,5.90%,PF,10.60%,8.5,9,6' 7.25'',6' 8.75'',8' 8'',240.8,6' 10.75''
Miles Bridges,CHA,22,6'6,225,Michigan State,USA,2018,1,12,65,13.0,5.6,1.8,9.7,4.20%,13.80%,19.60%,52.00%,9.20%,SF,5.90%,9,9.75,6' 5.25'',6' 6.75'',8' 7.5'',220.4,6' 9.5''
Miye Oni,UTA,22,6'5,206,Yale,USA,2019,2,58,5,0.0,0.4,0.0,68.0,0.00%,15.40%,10.00%,0.00%,0.00%,SG,4.90%,9,10,6' 4.25'',6' 5.75'',8' 4.5'',205.6,6' 10.75''
Monte Morris,DEN,25,6'2,183,Iowa State,USA,2017,2,51,65,8.4,1.7,3.5,1.7,1.40%,6.30%,16.50%,53.70%,23.20%,PG,6.90%,8.25,8.75,6' 1.25'',6' 2.5'',8' 0.5'',175.2,6' 4''
