PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Bruno Caboclo,HOU,24,9-Jun,218,None,Brazil,2014,1,20,27,2.7,2,0.4,-2.8,8.60%,13.50%,15.70%,45.50%,8.20%
Bruno Fernando,ATL,21,9-Jun,240,Maryland,Angola,2019,2,34,56,4.3,3.5,0.9,-5.6,8.50%,17.90%,14.70%,54.20%,10.10%
Bryn Forbes,SAS,26,2-Jun,205,Michigan State,USA,Undrafted,Undrafted,Undrafted,63,11.2,2,1.7,-6.8,0.70%,7.10%,18.50%,57.00%,9.70%
Buddy Hield,SAC,27,4-Jun,220,Oklahoma,Bahamas,2016,1,6,64,19.8,4.8,3.1,-2,2.70%,12.40%,26.10%,56.60%,15.40%
CJ McCollum,POR,28,3-Jun,190,Lehigh,USA,2013,1,10,62,22.5,4.1,4.3,0.8,1.70%,8.60%,26.30%,54.30%,18.60%
CJ Miles,WAS,33,6-Jun,220,None,USA,2005,2,34,10,6.4,1.2,1.2,-1.3,2.10%,5.00%,16.90%,47.20%,9.10%
Caleb Martin,CHA,24,5-Jun,205,None,USA,Undrafted,Undrafted,Undrafted,18,6.2,2.1,1.3,0.8,3.00%,8.60%,15.20%,59.50%,12.20%
Caleb Swanigan,POR,23,9-Jun,260,Purdue,USA,2017,1,26,27,2.4,3.7,1.1,-6.5,9.90%,24.80%,13.20%,59.70%,13.80%
Cam Reddish,ATL,20,8-Jun,218,Duke,USA,2019,1,10,58,10.5,3.7,1.5,-6.3,2.10%,11.00%,18.50%,50.00%,7.90%
Cameron Johnson,PHX,24,8-Jun,210,North Carolina,USA,2019,1,11,49,8.1,2.9,1.1,-2.7,3.70%,10.10%,15.40%,57.60%,7.80%
Caris LeVert,BKN,25,6-Jun,205,Michigan,USA,2016,1,20,39,17.7,4.1,4.1,-0.1,3.20%,9.50%,27.70%,50.90%,22.90%
Carmelo Anthony,POR,36,8-Jun,238,Syracuse,USA,2003,1,3,50,15.3,6.3,1.6,0.3,3.70%,14.20%,21.80%,51.70%,6.90%
Carsen Edwards,BOS,22,11-May,200,Purdue,USA,2019,2,33,35,3,1.2,0.6,-6.4,1.60%,10.80%,16.80%,44.60%,11.60%
Cedi Osman,CLE,25,7-Jun,230,None,Turkey,2015,2,31,65,11,3.6,2.4,-9,2.00%,10.30%,16.20%,55.20%,11.50%
Chandler Hutchison,CHI,24,7-Jun,210,Boise State,USA,2018,1,22,28,7.8,3.9,0.9,-11.9,3.20%,18.00%,18.30%,52.10%,7.70%
Chandler Parsons,ATL,31,9-Jun,230,Florida,USA,2011,2,38,5,2.8,1.4,0.6,-29,1.50%,12.00%,15.00%,38.90%,10.00%
Charles Brown Jr.,ATL,23,6-Jun,199,None,USA,Undrafted,Undrafted,Undrafted,10,2,0.4,0.2,33.9,4.00%,4.80%,23.10%,47.20%,7.70%
Chasson Randle,GSW,27,2-Jun,185,Stanford,USA,Undrafted,Undrafted,Undrafted,3,1.7,0.7,1.7,-2,0.00%,5.30%,8.00%,37.70%,16.10%
Cheick Diallo,PHX,23,8-Jun,219,Kansas,Mali,2016,2,33,44,4.8,2.9,0.5,-4.6,6.00%,21.20%,16.60%,68.80%,7.70%
Chimezie Metu,SAS,23,9-Jun,225,USC,USA,2018,2,49,16,2.9,1.6,0.4,2.5,12.50%,21.60%,23.80%,59.70%,14.00%
Chris Boucher,TOR,27,9-Jun,200,Oregon,Canada,Undrafted,Undrafted,Undrafted,55,6.3,4.4,0.4,5.4,12.00%,18.20%,18.30%,57.00%,4.90%
Chris Chiozza,BKN,24,11-May,175,Florida,USA,Undrafted,Undrafted,Undrafted,21,4,1.7,2.3,10.2,2.10%,11.10%,15.70%,52.60%,28.90%
Chris Clemons,HOU,22,9-May,180,None,USA,Undrafted,Undrafted,Undrafted,29,4.9,0.8,0.8,-6.8,1.10%,7.10%,23.90%,54.60%,15.00%
Chris Paul,OKC,35,1-Jun,175,Wake Forest,USA,2005,1,4,63,17.7,4.9,6.8,6.8,1.10%,14.10%,22.60%,60.90%,31.80%
Chris Silva,MIA,23,8-Jun,234,South Carolina,Gabon,Undrafted,Undrafted,Undrafted,41,2.9,2.7,0.5,-3.4,17.10%,17.40%,15.90%,66.30%,10.40%
Christian Wood,DET,24,10-Jun,214,UNLV,USA,Undrafted,Undrafted,Undrafted,62,13.1,6.3,1,2,7.90%,21.40%,22.30%,65.90%,7.40%
Clint Capela,ATL,26,10-Jun,240,None,Switzerland,2014,1,25,39,13.9,13.8,1.2,2.5,11.80%,26.50%,15.60%,62.60%,5.60%
Coby White,CHI,20,4-Jun,195,North Carolina,USA,2019,1,7,65,13.2,3.5,2.7,-4.4,1.50%,12.80%,23.50%,50.60%,16.20%
Cody Martin,CHA,24,5-Jun,205,Nevada-Reno,USA,2019,2,36,48,5,3.3,2,-3.2,3.90%,14.00%,13.10%,50.50%,15.40%
Cody Zeller,CHA,27,Jul-00,240,Indiana,USA,2013,1,4,58,11.1,7.1,1.5,-8.3,11.00%,19.70%,20.10%,57.60%,11.10%
Collin Sexton,CLE,21,1-Jun,190,Alabama,USA,2018,1,8,65,20.8,3.1,3,-9.2,2.80%,6.90%,26.40%,56.00%,14.60%
Cory Joseph,SAC,28,3-Jun,200,Texas,Canada,2011,1,29,64,6.3,2.5,3.4,-0.4,2.40%,8.30%,12.80%,51.30%,19.90%
Courtney Lee,DAL,34,5-Jun,215,Western Kentucky,USA,2008,1,22,24,4.5,1.3,0.5,6.7,1.90%,7.00%,11.60%,62.90%,4.40%
Cristiano Felicio,CHI,27,10-Jun,270,None,Brazil,Undrafted,Undrafted,Undrafted,22,3.9,4.6,0.7,-7.7,14.40%,13.90%,8.80%,67.10%,5.30%
D'Angelo Russell,MIN,24,4-Jun,193,Ohio State,USA,2015,1,2,45,23.1,3.9,6.3,-8.1,1.10%,10.70%,30.50%,55.60%,32.70%
D.J. Augustin,ORL,32,11-May,183,Texas,USA,2008,1,9,49,10.4,2.2,4.6,2,1.40%,7.10%,18.40%,54.80%,28.00%
D.J. Wilson,MIL,24,10-Jun,231,Michigan,USA,2017,1,17,31,3.2,2.2,0.7,-6.5,3.50%,16.90%,17.20%,47.60%,12.00%
DaQuan Jeffries,SAC,22,5-Jun,230,None,USA,Undrafted,Undrafted,Undrafted,6,1.2,0.2,0.2,5.7,3.60%,0.00%,13.70%,50.00%,6.70%
Damian Jones,ATL,25,11-Jun,245,Vanderbilt,USA,2016,1,30,55,5.6,3.7,0.6,-12.6,8.00%,15.30%,11.30%,71.20%,5.70%
Damian Lillard,POR,29,2-Jun,195,Weber State,USA,2012,1,6,58,28.9,4.3,7.8,1.3,1.30%,9.10%,29.30%,61.90%,33.20%
Damion Lee,GSW,27,5-Jun,210,Louisville,USA,Undrafted,Undrafted,Undrafted,49,12.7,4.9,2.7,-4.1,2.10%,14.40%,18.40%,54.80%,13.90%
Damyean Dotson,NYK,26,5-Jun,210,Houston,USA,2017,2,44,48,6.7,1.9,1.2,-5.3,1.10%,9.10%,15.80%,52.70%,10.50%
Daniel Gafford,CHI,21,10-Jun,234,Arkansas,USA,2019,2,38,43,5.1,2.5,0.5,-1.9,8.10%,9.20%,13.10%,68.60%,5.10%
Daniel Theis,BOS,28,8-Jun,245,None,Germany,Undrafted,Undrafted,Undrafted,58,9.3,6.6,1.6,7.7,9.00%,17.20%,14.60%,62.90%,10.00%
Danilo Gallinari,OKC,31,10-Jun,233,None,Italy,2008,1,6,55,19.2,5.5,2.1,5.1,2.00%,16.00%,24.00%,61.10%,10.10%
Danny Green,LAL,33,6-Jun,215,North Carolina,USA,2009,2,46,61,8.2,3.4,1.4,8.7,2.90%,10.00%,13.30%,56.40%,7.00%
Dante Exum,CLE,24,5-Jun,214,None,Australia,2014,1,5,35,4.5,1.9,1.1,-8.8,2.40%,10.90%,14.50%,57.60%,12.40%
Danuel House Jr.,HOU,27,6-Jun,220,Texas A&M,USA,Undrafted,Undrafted,Undrafted,58,10.2,4.2,1.3,2.9,2.90%,10.20%,13.30%,57.10%,6.10%
Dario Saric,PHX,26,10-Jun,225,None,Croatia,2014,1,12,58,10.1,5.9,1.9,-1.9,6.00%,17.80%,16.80%,57.20%,10.50%
Darius Bazley,OKC,20,8-Jun,208,None,USA,2019,1,23,53,4.5,3.7,0.5,-3.3,2.20%,17.30%,13.70%,47.50%,4.60%
Darius Garland,CLE,20,1-Jun,192,Vanderbilt,USA,2019,1,5,59,12.3,1.9,3.9,-8.7,1.40%,4.60%,20.10%,49.80%,18.20%
Daryl Macon,MIA,24,2-Jun,185,Arkansas,USA,Undrafted,Undrafted,Undrafted,4,0.8,0,0.3,7.6,0.00%,0.00%,16.70%,50.00%,14.30%
David Nwaba,HOU,27,5-Jun,219,None,USA,Undrafted,Undrafted,Undrafted,20,5.2,2.3,0.4,7.2,2.70%,10.90%,13.90%,62.70%,4.60%
Davis Bertans,WAS,27,10-Jun,225,None,Latvia,2011,2,42,54,15.4,4.5,1.7,-0.3,2.10%,13.00%,18.30%,62.80%,8.10%
De'Aaron Fox,SAC,22,3-Jun,185,Kentucky,USA,2017,1,5,45,20.4,4,6.8,-2.9,2.00%,10.60%,28.70%,55.60%,33.30%
De'Andre Hunter,ATL,22,7-Jun,225,Virginia,USA,2019,1,4,63,12.3,4.5,1.8,-5.5,2.10%,11.60%,17.30%,52.10%,7.90%
De'Anthony Melton,MEM,22,2-Jun,200,USC,USA,2018,2,46,52,8.1,3.7,3,6.2,3.50%,13.90%,18.90%,52.50%,20.10%
DeAndre Jordan,BKN,31,11-Jun,265,Texas A&M,USA,2008,2,35,56,8.3,10,1.9,-1.8,10.50%,29.30%,13.60%,68.20%,13.20%
DeAndre' Bembry,ATL,25,5-Jun,210,St. Joseph's (PA),USA,2016,1,21,43,5.8,3.5,1.9,-11.8,3.40%,12.30%,13.70%,50.00%,13.00%
DeMar DeRozan,SAS,30,6-Jun,220,USC,USA,2009,1,9,61,22.2,5.6,5.6,-2.7,1.90%,14.20%,26.40%,59.70%,26.10%
DeMarre Carroll,HOU,33,6-Jun,215,Missouri,USA,2009,1,27,21,3.5,2.2,0.9,7.7,5.10%,14.30%,15.80%,52.30%,9.90%
Dean Wade,CLE,23,9-Jun,228,Kansas State,USA,Undrafted,Undrafted,Undrafted,12,1.7,1.6,0.2,-6.5,3.80%,21.30%,9.10%,74.40%,3.90%
Deandre Ayton,PHX,21,11-Jun,250,Arizona,Bahamas,2018,1,1,30,19,12,1.9,2.2,12.40%,22.90%,23.70%,57.10%,9.30%
Dejounte Murray,SAS,23,4-Jun,180,Washington,USA,2016,1,29,58,10.7,5.8,4.1,-5.1,4.50%,18.40%,20.50%,53.50%,23.80%
Delon Wright,DAL,28,5-Jun,185,Utah,USA,2015,1,20,65,7.3,4,3.4,1.9,4.20%,12.60%,14.30%,56.30%,21.70%
Dennis Schroder,OKC,26,1-Jun,172,None,Germany,2013,1,17,63,19,3.7,4.1,6,1.00%,10.00%,26.20%,57.30%,22.00%
Dennis Smith Jr.,NYK,22,2-Jun,205,North Carolina State,USA,2017,1,9,34,5.5,2.3,2.9,-17.1,3.40%,10.20%,22.30%,39.90%,29.70%
Denzel Valentine,CHI,26,4-Jun,220,Michigan State,USA,2016,1,14,36,6.8,2.1,1.2,-5,1.60%,13.80%,22.90%,51.10%,14.70%
Deonte Burton,OKC,26,4-Jun,240,Iowa State,USA,Undrafted,Undrafted,Undrafted,34,2.8,1.4,0.3,-12,2.00%,12.40%,18.40%,42.60%,6.30%
Derrick Favors,NOP,28,9-Jun,265,Georgia Tech,USA,2010,1,3,45,9.2,9.9,1.7,5.8,12.40%,24.80%,13.90%,62.40%,9.10%
Derrick Jones Jr.,MIA,23,6-Jun,210,UNLV,USA,Undrafted,Undrafted,Undrafted,51,8.9,4.2,1.1,-0.9,4.60%,11.80%,13.70%,60.90%,6.90%
Derrick Rose,DET,31,2-Jun,200,Memphis,USA,2008,1,1,50,18.1,2.4,5.6,-3.4,2.10%,7.10%,30.30%,55.50%,37.30%
Derrick Walton Jr.,LAC,25,Jun-00,185,Michigan,USA,Undrafted,Undrafted,Undrafted,26,2,0.6,1,-0.9,0.70%,5.40%,7.90%,61.70%,15.50%
Derrick White,SAS,25,4-Jun,190,Colorado,USA,2017,1,29,61,10.4,3.2,3.4,-0.3,2.00%,10.40%,17.50%,58.50%,19.90%
Devin Booker,PHX,23,5-Jun,206,Kentucky,USA,2015,1,13,62,26.1,4.2,6.6,1.2,1.20%,10.30%,28.90%,61.70%,29.00%
Devon Hall,OKC,24,5-Jun,215,Virginia,USA,2018,2,53,5,1,0.2,0.6,46.5,0.00%,4.30%,16.70%,37.00%,17.60%
Devonte' Graham,CHA,25,1-Jun,195,Kansas,USA,2018,2,34,63,18.2,3.4,7.5,-4.5,1.80%,7.80%,24.30%,53.70%,34.50%
Dewan Hernandez,TOR,23,10-Jun,235,Miami,USA,2019,2,59,4,1,1.8,0,-0.3,20.00%,33.30%,23.30%,34.00%,0.00%
Dewayne Dedmon,ATL,30,Jul-00,245,USC,USA,Undrafted,Undrafted,Undrafted,44,5.8,5.7,0.5,-0.7,7.50%,24.10%,17.90%,47.30%,4.10%
Dillon Brooks,MEM,24,7-Jun,225,Oregon,Canada,2017,2,45,65,15.7,3.3,2,-0.3,3.10%,7.50%,24.50%,50.80%,10.00%
Dion Waiters,LAL,28,3-Jun,210,Syracuse,USA,2012,1,4,3,9.3,3.7,1,13.5,0.00%,20.80%,29.60%,53.00%,12.50%
Domantas Sabonis,IND,24,11-Jun,240,Gonzaga,Lithuania,2016,1,11,62,18.5,12.4,5,3.1,8.90%,26.20%,22.90%,58.60%,21.50%
Donovan Mitchell,UTA,23,1-Jun,215,Louisville,USA,2017,1,13,63,24.2,4.4,4.2,2.5,2.10%,10.20%,30.50%,56.00%,21.00%
Donta Hall,BKN,22,9-Jun,229,None,USA,Undrafted,Undrafted,Undrafted,4,1.5,3.8,0.5,-30.1,10.50%,25.70%,7.80%,45.20%,7.10%
Donte DiVincenzo,MIL,23,4-Jun,203,Villanova,USA,2018,1,17,59,9.4,4.9,2.3,13.9,4.10%,14.30%,16.50%,57.00%,13.20%
Dorian Finney-Smith,DAL,27,7-Jun,220,Florida,USA,Undrafted,Undrafted,Undrafted,64,9.3,5.5,1.5,7.1,6.40%,11.00%,12.60%,59.70%,6.90%
Doug McDermott,IND,28,7-Jun,225,Creighton,USA,2014,1,11,62,10.4,2.5,1.1,4,1.80%,9.80%,18.60%,62.60%,8.00%
Dragan Bender,MIL,22,Jul-00,249,None,Croatia,2016,1,4,16,6.7,4.6,1.8,1.1,6.00%,18.30%,18.00%,54.50%,14.20%
Draymond Green,GSW,30,6-Jun,230,Michigan State,USA,2012,2,35,43,8,6.2,6.2,-7.2,1.80%,19.20%,15.60%,48.90%,31.00%
Drew Eubanks,SAS,23,9-Jun,245,None,USA,Undrafted,Undrafted,Undrafted,14,3.6,2.5,0.4,-15.1,6.30%,20.90%,14.00%,77.60%,6.00%
Duncan Robinson,MIA,26,7-Jun,215,Michigan,USA,Undrafted,Undrafted,Undrafted,65,13.3,3.3,1.4,7.7,0.50%,10.10%,15.40%,67.80%,6.70%
Dusty Hannahs,MEM,26,3-Jun,210,Arkansas,USA,Undrafted,Undrafted,Undrafted,2,6,0.5,0,17.2,0.00%,6.30%,28.60%,60.70%,0.00%
Dwayne Bacon,CHA,24,6-Jun,221,Florida State,USA,2017,2,40,39,5.7,2.6,1.3,-8.2,2.00%,12.40%,18.90%,41.90%,12.10%
Dwight Howard,LAL,34,10-Jun,265,None,USA,2004,1,1,62,7.5,7.4,0.7,6.8,12.70%,25.00%,14.30%,69.60%,4.80%
Dwight Powell,DAL,28,10-Jun,240,Stanford,Canada,2014,2,45,40,9.4,5.7,1.5,8.9,7.10%,13.20%,12.60%,67.70%,7.60%
Dzanan Musa,BKN,21,9-Jun,217,None,Bosnia and He...,2018,1,29,35,4.2,2,0.9,-5.3,4.20%,11.20%,18.70%,46.70%,11.60%
E'Twaun Moore,NOP,31,3-Jun,191,Purdue,USA,2011,2,55,51,8.6,2.4,1.4,-1.9,2.70%,9.50%,19.60%,50.90%,10.90%
Ed Davis,UTA,31,9-Jun,218,North Carolina,USA,2010,1,13,25,1.3,3.8,0.3,-13.8,10.20%,24.00%,8.40%,42.50%,4.50%
Edmond Sumner,IND,24,4-Jun,196,Xavier,USA,2017,2,52,25,4.6,1.5,1.6,-3.7,2.90%,7.30%,17.10%,48.50%,15.10%
Elfrid Payton,NYK,26,3-Jun,195,Louisana-Lafayette,USA,2014,1,10,45,10,4.7,7.2,-3,3.90%,12.60%,19.00%,47.00%,34.70%
Elie Okobo,PHX,22,3-Jun,190,None,France,2018,2,31,54,4,1.6,2.1,-3.3,2.20%,10.10%,14.90%,51.10%,22.70%
Emmanuel Mudiay,UTA,24,3-Jun,200,None,Democratic Re...,2015,1,7,48,7.3,2.4,2.2,1.3,2.30%,11.70%,21.40%,55.00%,21.70%
Enes Kanter,BOS,28,10-Jun,250,,Turkey,2011,1,3,51,8.2,7.7,1,8.3,15.00%,26.60%,18.50%,59.40%,8.20%
Eric Bledsoe,MIL,30,1-Jun,214,Kentucky,USA,2010,1,18,56,15.4,4.6,5.4,13.3,2.60%,11.90%,23.60%,57.90%,27.40%
Eric Gordon,HOU,31,3-Jun,215,Indiana,USA,2008,1,7,34,14.5,1.9,1.5,1.4,0.70%,5.40%,21.10%,51.10%,7.90%
Eric Mika,SAC,25,10-Jun,233,None,USA,Undrafted,Undrafted,Undrafted,1,6,7,0,19.5,11.10%,26.30%,8.90%,77.30%,0.00%
Eric Paschall,GSW,23,6-Jun,255,Villanova,USA,2019,2,41,60,14,4.6,2.1,-10.6,4.70%,11.60%,20.70%,57.10%,12.60%
Ersan Ilyasova,MIL,33,9-Jun,235,None,Turkey,2005,2,36,56,6.8,4.9,0.8,6.9,6.30%,21.10%,16.10%,59.10%,6.90%
Evan Fournier,ORL,27,7-Jun,205,None,France,2012,1,20,61,18.8,2.6,3.2,-3,0.80%,7.30%,23.80%,59.90%,16.10%
Evan Turner,MIN,31,6-Jun,220,Ohio State,USA,2010,1,2,19,3.3,2,2,-11.4,2.80%,10.70%,15.40%,42.40%,23.50%
Frank Jackson,NOP,22,3-Jun,205,Duke,USA,2017,2,31,51,5.6,1.4,0.8,-5.9,2.60%,7.20%,19.60%,50.00%,8.60%
Frank Kaminsky,PHX,27,Jul-00,240,Wisconsin,USA,2015,1,9,32,11,4.9,2.2,-2.3,3.90%,17.70%,20.20%,55.40%,15.10%
Frank Mason,MIL,26,11-May,190,Kansas,USA,2017,2,34,6,2.3,1.3,1.8,-9.3,4.50%,8.10%,20.10%,33.70%,31.40%
Frank Ntilikina,NYK,21,4-Jun,200,None,France,2017,1,8,57,6.3,2.1,3,-3.9,1.80%,8.20%,15.20%,49.70%,20.90%
Fred VanVleet,TOR,26,1-Jun,197,Wichita State,USA,Undrafted,Undrafted,Undrafted,48,17.6,3.8,6.6,5.1,1.00%,8.70%,22.00%,54.60%,27.50%
Furkan Korkmaz,PHI,22,7-Jun,202,None,Turkey,2016,1,26,64,9.7,2.3,1.1,2.9,1.10%,9.00%,17.80%,57.10%,7.30%
