PLAYER,POS,BODY FAT %,HAND LENGTH (INCHES),HAND WIDTH (INCHES),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN,Rk,Unnamed: 2,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Mike Muscala,C-PF,6.80%,8.5,9,82.25,6' 11.5'',9' 0'',230.2,85.0,353,muscami01,C,28,OKC,41,0,492,64,159,0.40299999999999997,43,120,0.358,21,39,0.5379999999999999,0.5379999999999999,18,22,0.818,13,81,94,34,8,11,14,51,189
Mike Scott,PF,10.60%,8.5,9,79.25,6' 8.75'',8' 8'',240.8,82.75,431,scottmi01,PF,31,PHI,63,10,1119,130,319,0.408,73,204,0.358,57,115,0.496,0.522,25,30,0.833,58,167,225,48,19,5,24,85,358
Miles Bridges,SF,5.90%,9,9.75,77.25,6' 6.75'',8' 7.5'',220.4,81.5,62,bridgmi02,SF,21,CHO,65,64,1995,319,753,0.424,99,300,0.33,220,453,0.486,0.489,106,131,0.809,88,274,362,114,40,48,95,132,843
Monte Morris,PG,6.90%,8.25,8.75,73.25,6' 2.5'',8' 0.5'',175.2,76.0,346,morrimo01,PG,24,DEN,65,8,1402,222,484,0.45899999999999996,54,144,0.375,168,340,0.494,0.514,51,62,0.823,20,92,112,230,53,16,45,64,549
Montrezl Harrell,PF,11.90%,9,9.75,79.0,6' 7.5'',9' 1'',253.4,88.25,195,harremo01,C,26,LAC,63,2,1749,471,812,0.58,0,18,0.0,471,794,0.593,0.58,231,351,0.6579999999999999,163,282,445,107,39,72,108,146,1173
Moritz Wagner,C-PF,6.75%,9,10.75,82.5,6' 11.5'',9' 0'',241.4,84.0,478,wagnemo01,C,22,WAS,37,5,707,131,228,0.575,23,67,0.34299999999999997,108,161,0.6709999999999999,0.625,67,82,0.8170000000000001,51,141,192,49,22,17,55,134,352
Myles Turner,C-PF,9.30%,9.25,9.25,81.75,6' 11.5'',9' 4'',238.6,88.0,468,turnemy01,C,23,IND,55,55,1628,233,517,0.451,77,229,0.336,156,288,0.542,0.525,108,144,0.75,70,290,360,61,42,120,68,138,651
Nassir Little,SF,5.90%,8.75,10,76.5,6' 6'',8' 8.5'',224.2,85.25,292,littlna01,PF,19,POR,48,5,573,65,151,0.43,14,59,0.237,51,92,0.5539999999999999,0.47700000000000004,28,44,0.636,31,77,108,22,13,14,15,72,172
Naz Reid,PF,14.00%,9.5,9.25,80.75,6' 9.5'',9' 1'',255.8,87.25,409,reidna01,C,20,MIN,30,11,495,100,243,0.41200000000000003,32,97,0.33,68,146,0.466,0.47700000000000004,37,53,0.698,34,90,124,35,19,22,22,83,269
Nickeil Alexander-Walker,SG,5.90%,8.5,8.75,76.25,6' 5.5'',8' 6'',203.8,81.5,4,alexani01,SG,21,NOP,41,0,501,77,227,0.33899999999999997,40,117,0.342,37,110,0.336,0.42700000000000005,17,28,0.607,8,72,80,74,11,7,40,46,211
Noah Vonleh,PF,7.30%,9.75,11.75,80.0,6' 9.5'',9' 0'',247.1,88.25,475,vonleno01,C-PF,24,TOT,33,1,364,50,89,0.562,3,15,0.2,47,74,0.635,0.579,24,30,0.8,37,86,123,27,11,6,21,38,127
Norman Powell,SG,6.40%,9.25,9,75.0,6' 4.25'',8' 6.5'',215.4,82.75,403,powelno01,SG,26,TOR,44,23,1269,259,516,0.502,94,236,0.39799999999999996,165,280,0.589,0.593,109,130,0.838,23,138,161,78,55,17,64,93,721
OG Anunoby,SF,6.80%,9.25,9.5,78.25,6' 7.75'',8' 11.5'',232.4,86.25,16,anunoog01,SF,22,TOR,63,62,1897,267,527,0.507,82,215,0.381,185,312,0.593,0.584,59,86,0.6859999999999999,74,267,341,99,88,42,75,155,675
Omari Spellman,PF-C,13.75%,9,9,80.0,6' 9.25'',8' 11.5'',253.8,86.0,447,spellom01,PF,22,GSW,49,3,886,127,295,0.431,43,110,0.391,84,185,0.45399999999999996,0.503,73,92,0.7929999999999999,77,142,219,47,33,24,54,63,370
Otto Porter,SF,6.65%,8.75,9.25,79.5,6' 8.5'',8' 9.5'',197.6,85.5,399,porteot01,SF,26,CHI,14,9,331,62,140,0.44299999999999995,24,62,0.387,38,78,0.48700000000000004,0.529,19,27,0.7040000000000001,13,35,48,25,15,6,11,31,167
P.J. Washington,PF,8.60%,9,10.25,78.5,6' 8'',8' 10.5'',230.4,86.25,487,washipj01,PF,21,CHO,58,57,1759,268,589,0.455,86,230,0.374,182,359,0.507,0.528,88,136,0.647,58,258,316,123,51,44,93,158,710
Pascal Siakam,PF,5.20%,9.25,10,80.25,6' 9.5'',8' 11.5'',226.6,87.25,437,siakapa01,PF,25,TOR,53,53,1882,459,1000,0.45899999999999996,115,320,0.359,344,680,0.506,0.517,220,275,0.8,57,342,399,191,53,49,132,151,1253
Pat Connaughton,SG,10.20%,8.5,9.25,76.0,6' 5.25'',8' 0'',215,80.0,107,connapa01,SG,27,MIL,61,1,1119,119,261,0.456,44,137,0.321,75,124,0.605,0.54,27,36,0.75,56,203,259,95,20,30,47,60,309
Patrick McCaw,PG-SG,4.70%,8.75,8.75,77.25,6' 6.75'',8' 4.5'',180.8,82.0,315,mccawpa01,SF,24,TOR,37,12,908,67,162,0.414,23,71,0.324,44,91,0.484,0.485,13,18,0.722,19,67,86,79,39,4,29,60,170
Patrick Patterson,PF,5.30%,9.25,10.25,80.0,6' 9.25'',8' 11'',239.6,85.25,385,pattepa01,PF,30,LAC,51,18,607,76,188,0.40399999999999997,55,142,0.387,21,46,0.457,0.551,27,34,0.794,30,91,121,31,6,3,18,41,234
Patty Mills,PG,6.90%,-,-,71.25,6' 0.5'',7' 11'',175.4,74.0,333,millspa02,PG,31,SAS,63,1,1430,247,576,0.429,148,389,0.38,99,187,0.529,0.557,93,108,0.861,19,80,99,112,52,6,51,98,735
Paul George,SF,5.00%,8.5,9,79.75,6' 8.75'',8' 11'',214.4,83.25,167,georgpa01,SF,29,LAC,42,42,1222,291,674,0.43200000000000005,133,333,0.39899999999999997,158,341,0.46299999999999997,0.53,165,187,0.882,22,219,241,162,56,20,113,101,880
Paul Millsap,PF,9.70%,-,-,78.25,6' 7.25'',8' 9.5'',258,85.5,334,millspa01,PF,34,DEN,44,41,1075,188,387,0.486,48,109,0.44,140,278,0.504,0.5479999999999999,105,126,0.833,87,173,260,70,38,28,61,127,529
PJ Dozier,SG,6.10%,8.5,9.5,77.25,6' 6.75'',8' 5'',200.6,83.0,133,doziepj01,PG,23,DEN,21,0,234,36,91,0.396,7,28,0.25,29,63,0.46,0.434,7,11,0.636,5,25,30,29,7,5,11,27,86
Reggie Bullock,SG-SF,6.95%,8.5,9,77.75,6' 7'',8' 6'',199.8,80.75,75,bullore01,SG,28,NYK,29,19,684,90,224,0.402,37,111,0.33299999999999996,53,113,0.469,0.484,17,21,0.81,13,55,68,42,25,3,19,56,234
Robert Covington,SF-PF,4.70%,9,8.5,78.25,6' 7.5'',8' 10'',208.6,85.75,110,covinro01,PF,29,TOT,62,60,1867,280,648,0.43200000000000005,148,424,0.349,132,224,0.589,0.546,86,108,0.7959999999999999,54,343,397,74,95,80,93,196,794
Rodney Hood,SF,7.45%,8.5,8.5,79.25,6' 8.5'',8' 7'',208.2,80.5,221,hoodro01,SF,27,POR,21,21,619,87,172,0.506,35,71,0.493,52,101,0.515,0.608,21,27,0.778,10,62,72,32,17,4,19,46,230
Romeo Langford,SG,-%,9,9,76.5,6' 6'',8' 7'',-,83.0,279,langfro01,SG,20,BOS,27,1,298,24,64,0.375,5,23,0.217,19,41,0.46299999999999997,0.414,16,23,0.696,14,18,32,6,8,6,9,29,69
Rondae Hollis-Jefferson,SF,5.00%,8.75,9.75,77.5,6' 7'',8' 8'',210.8,86.0,219,holliro01,SF,25,TOR,52,5,998,139,295,0.47100000000000003,2,17,0.11800000000000001,137,278,0.493,0.475,95,129,0.736,102,152,254,90,44,22,49,105,375
