PLAYER,POS,BODY FAT %,HAND LENGTH (INCHES),HAND WIDTH (INCHES),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN,Rk,Unnamed: 2,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Aaron Gordon,PF,5.05%,8.75,10.5,79.5,6' 8.75'',8' 9'',220.1,83.75,173,gordoaa01,PF,24,ORL,58,58,1914,314,726,0.433,68,226,0.301,246,500,0.49200000000000005,0.479,137,203,0.675,103,338,441,215,50,36,94,116,833
Aaron Holiday,PG,6.40%,8.75,8.5,71.75,6' 0.75'',8' 1'',187,79.5,216,holidaa01,PG,23,IND,58,26,1368,202,496,0.40700000000000003,80,203,0.39399999999999996,122,293,0.41600000000000004,0.488,62,72,0.861,21,111,132,193,45,13,75,102,546
Admiral Schofield,SF,6.80%,8.75,9,76.0,6' 5.25'',8' 6.5'',240.6,81.75,429,schofad01,SF,22,WAS,27,2,293,30,75,0.4,14,47,0.298,16,28,0.5710000000000001,0.493,9,13,0.6920000000000001,6,28,34,14,8,3,7,41,83
Al Horford,PF,9.10%,-,-,80.0,6' 9.75'',8' 11'',246,84.75,222,horfoal01,C,33,PHI,60,57,1848,289,654,0.442,89,264,0.337,200,390,0.513,0.51,55,73,0.753,92,320,412,244,52,55,65,128,722
Alec Burks,SG,5.10%,9,8.25,77.0,6' 6'',8' 7.5'',192.6,82.0,77,burksal01,SG,28,TOT,59,18,1612,283,701,0.40399999999999997,100,273,0.366,183,428,0.428,0.475,225,251,0.8959999999999999,43,219,262,171,58,17,85,120,891
Al-Farouq Aminu,SF,8.20%,9.5,9.5,79.25,6' 8.5'',9' 0.5'',216,87.25,8,aminual01,PF,29,ORL,18,2,380,25,86,0.29100000000000004,9,36,0.25,16,50,0.32,0.34299999999999997,19,29,0.655,24,63,87,21,18,8,17,27,78
Allen Crabbe,SG,4.65%,8.25,8.5,77.25,6' 6.25'',8' 7.5'',197.4,83.25,111,crabbal01,SG,27,TOT,37,1,653,63,177,0.35600000000000004,36,119,0.303,27,58,0.466,0.45799999999999996,10,14,0.7140000000000001,11,66,77,33,15,4,17,47,172
Allonzo Trier,SG,4.95%,8.25,10.5,75.75,6' 5.25'',8' 2'',198,78.75,464,trieral01,PG,24,NYK,24,1,291,51,106,0.48100000000000004,19,53,0.358,32,53,0.604,0.5710000000000001,34,43,0.7909999999999999,6,23,29,28,3,4,22,29,155
Andre Drummond,C,7.50%,9.5,9.5,81.75,6' 11.75'',9' 1.5'',278.6,90.25,135,drumman01,C,26,TOT,57,56,1879,418,784,0.5329999999999999,5,35,0.14300000000000002,413,749,0.551,0.536,169,294,0.575,250,614,864,152,109,93,203,201,1010
Anfernee Simons,SG-PG,7.70%,8.75,9,74.25,6' 3.25'',8' 3.5'',183.2,81.25,440,simonan01,SG,20,POR,65,4,1400,211,525,0.402,74,219,0.33799999999999997,137,306,0.44799999999999995,0.47200000000000003,76,92,0.826,25,122,147,95,26,10,61,131,572
Anthony Davis,PF-C,7.90%,9,8.5,81.25,6' 10.5'',9' 0'',221.8,89.5,118,davisan02,PF,26,LAL,55,55,1889,508,994,0.511,65,194,0.335,443,800,0.5539999999999999,0.544,386,457,0.845,124,393,517,172,82,134,135,138,1467
Anthony Tolliver,PF,5.70%,-,-,79.0,6' 8.5'',8' 11.5'',242,86.5,460,tollian01,PF,34,TOT,47,9,732,54,155,0.348,39,121,0.322,15,34,0.441,0.474,18,25,0.72,30,103,133,33,15,11,30,64,165
Austin Rivers,SG-PG,6.20%,8.5,10,75.5,6' 5'',8' 0.5'',202.8,79.25,411,riverau01,SG,27,HOU,60,4,1402,182,432,0.42100000000000004,83,232,0.358,99,200,0.495,0.517,60,90,0.667,25,117,142,96,42,10,35,112,507
Avery Bradley,SG-PG,4.00%,8.25,9.5,74.0,6' 3.25'',8' 2.5'',180.4,79.25,57,bradlav01,SG,29,LAL,49,44,1186,170,383,0.444,63,173,0.364,107,210,0.51,0.526,20,24,0.833,18,97,115,63,43,5,47,110,423
Ben McLemore,SG,5.00%,8.75,9.5,75.5,6' 4.75'',8' 4.5'',189.2,79.75,324,mclembe01,SG,26,HOU,63,19,1437,209,470,0.445,154,390,0.395,55,80,0.688,0.609,47,62,0.758,20,119,139,54,38,12,46,130,619
Blake Griffin,PF,8.20%,-,-,80.5,6' 10'',8' 9'',248.4,83.25,184,griffbl01,PF,30,DET,18,18,512,88,250,0.35200000000000004,27,111,0.243,61,139,0.439,0.406,76,98,0.7759999999999999,17,67,84,59,7,7,40,27,279
Bobby Portis,PF,8.90%,9.5,9.25,81.5,6' 10.5'',9' 0.5'',246.2,86.0,400,portibo01,C,24,NYK,66,5,1393,265,589,0.45,67,187,0.358,198,402,0.493,0.507,71,93,0.763,80,258,338,98,32,18,73,110,668
Bradley Beal,SG,6.00%,8.5,9,75.25,6' 4.75'',8' 4'',201.8,80.0,34,bealbr01,SG,26,WAS,57,57,2053,593,1303,0.455,170,481,0.353,423,822,0.515,0.52,385,457,0.8420000000000001,52,190,242,347,71,23,194,126,1741
Brandon Clarke,SF,4.90%,8.25,9.5,79.25,6' 8.25'',8' 6'',207.2,80.25,98,clarkbr01,PF,23,MEM,50,3,1086,254,408,0.623,21,52,0.40399999999999997,233,356,0.654,0.648,73,93,0.785,78,214,292,72,26,42,46,82,602
Brandon Knight,PG,4.20%,8.25,9.5,73.5,6' 3.25'',8' 2.5'',176.8,78.75,269,knighbr03,PG,28,TOT,25,3,462,59,167,0.353,45,131,0.344,14,36,0.389,0.488,20,34,0.588,4,37,41,69,10,3,38,40,183
Brook Lopez,C,6.30%,-,-,83.25,7' 0.5'',9' 5'',258,89.5,294,lopezbr01,C,31,MIL,61,60,1622,244,571,0.42700000000000005,84,284,0.29600000000000004,160,287,0.557,0.501,98,121,0.81,42,230,272,95,43,149,63,147,670
Bruce Brown,SG-PG,3.75%,8.5,8.5,75.5,6' 5'',8' 2.5'',194.6,81.0,67,brownbr01,SG,23,DET,58,43,1634,198,447,0.44299999999999995,33,96,0.344,165,351,0.47,0.48,88,119,0.7390000000000001,61,213,274,230,63,29,100,162,517
Bruno Fernando,C,5.40%,9.25,10,80.75,6' 10.25'',9' 2'',237,87.25,150,fernabr01,C,21,ATL,56,13,713,103,199,0.518,5,37,0.135,98,162,0.605,0.53,29,51,0.569,67,131,198,49,18,17,42,107,240
Buddy Hield,SG,6.10%,8.5,9,75.75,6' 5'',8' 5'',212.4,81.25,212,hieldbu01,SG,27,SAC,64,44,2045,456,1062,0.429,244,618,0.395,212,444,0.47700000000000004,0.544,112,131,0.855,57,249,306,197,60,17,150,150,1268
Caleb Martin,SF-SG,7.00%,8.5,8.75,76.75,6' 6'',8' 5.5'',195.8,82.0,308,martica02,SF,24,CHO,18,1,317,37,84,0.44,20,37,0.541,17,47,0.36200000000000004,0.56,17,21,0.81,10,28,38,23,12,7,15,32,111
Cameron Johnson,SG,5.80%,8,8.5,79.0,6' 8.5'',8' 7'',205.2,82.0,250,johnsca02,PF,23,PHO,49,1,996,136,325,0.418,91,229,0.397,45,96,0.469,0.5579999999999999,35,46,0.7609999999999999,39,101,140,52,30,16,29,72,398
Caris LeVert,SG,7.55%,8.5,9.25,77.75,6' 7'',8' 5'',191,82.0,290,leverca01,SG,25,BRK,39,25,1131,252,609,0.414,72,189,0.381,180,420,0.429,0.473,116,161,0.72,40,119,159,159,44,7,98,72,692
Carmelo Anthony,SF,8.00%,-,-,78.25,,8' 9.5'',233,84.0,15,anthoca01,PF,35,POR,50,50,1623,289,679,0.426,72,194,0.371,217,485,0.447,0.479,113,134,0.843,61,252,313,79,40,23,87,142,763
Carsen Edwards,PG,5.50%,8.75,9,70.75,6' 0.25'',7' 10.5'',199.4,78.0,138,edwarca01,SG,21,BOS,35,0,316,37,113,0.327,21,68,0.309,16,45,0.35600000000000004,0.42,11,13,0.846,6,37,43,22,10,3,15,33,106
Chris Boucher,PF,5.40%,9.25,10.5,80.0,6' 9.5'',9' 2.5'',182.2,88.0,54,bouchch01,PF,27,TOR,55,0,724,119,260,0.45799999999999996,28,99,0.28300000000000003,91,161,0.565,0.512,82,103,0.7959999999999999,94,148,242,23,20,53,23,104,348
Chris Paul,PG,-%,-,-,71.75,6' 1'',7' 9'',178,76.25,387,paulch01,PG,34,OKC,63,63,2003,394,805,0.489,101,279,0.36200000000000004,293,526,0.557,0.552,225,250,0.9,21,289,310,426,98,9,137,139,1114
Christian Wood,PF,14.70%,9.25,10.75,81.25,6' 10.5'',9' 3.5'',216,87.25,507,woodch01,PF,24,DET,62,12,1325,288,508,0.5670000000000001,54,140,0.386,234,368,0.636,0.62,180,242,0.7440000000000001,104,286,390,60,34,54,84,98,810
CJ McCollum,PG-SG,8.60%,8,9.5,74.25,6' 3.25'',8' 0.5'',197,78.25,316,mccolcj01,SG,28,POR,62,62,2229,549,1212,0.45299999999999996,174,458,0.38,375,754,0.49700000000000005,0.525,123,164,0.75,41,213,254,268,46,39,116,159,1395
Coby White,PG,4.30%,7.75,9,75.5,6' 4.75'',8' 1.5'',191.4,77.0,493,whiteco01,SG,19,CHI,65,1,1674,312,792,0.39399999999999996,133,376,0.354,179,416,0.43,0.478,102,129,0.7909999999999999,28,202,230,175,49,6,109,117,859
Cody Martin,PG-SG,5.00%,8.25,9,76.75,6' 5.5'',8' 6.5'',192.2,82.25,309,martico01,SF,24,CHO,48,3,903,89,207,0.43,18,77,0.23399999999999999,71,130,0.546,0.473,42,65,0.6459999999999999,38,120,158,95,39,9,44,78,238
Cody Zeller,C-PF,4.75%,8.5,10.5,82.75,7' 0.25'',8' 10'',230,82.75,512,zelleco01,C,27,CHO,58,39,1341,251,479,0.524,18,75,0.24,233,404,0.5770000000000001,0.5429999999999999,122,179,0.682,160,251,411,88,40,25,75,140,642
Collin Sexton,PG,5.60%,8.25,8.5,72.5,6' 1.5'',8' 2.5'',183,79.25,433,sextoco01,SG,21,CLE,65,65,2143,513,1086,0.47200000000000003,97,255,0.38,416,831,0.501,0.517,226,267,0.846,61,143,204,192,65,7,158,142,1349
Cory Joseph,PG,9.70%,8.5,10.5,74.0,6' 3.25'',8' 3'',186.2,77.5,260,josepco01,PG,28,SAC,64,22,1538,155,369,0.42,47,134,0.35100000000000003,108,235,0.46,0.484,48,58,0.828,37,126,163,218,46,21,64,121,405
D.J. Augustin,PG,8.10%,-,-,70.0,5' 11.5'',7' 10.5'',171.5,75.5,19,augusdj01,PG,32,ORL,49,6,1215,156,397,0.39299999999999996,60,174,0.345,96,223,0.43,0.469,139,157,0.885,18,91,109,223,30,1,69,53,511
Damian Lillard,PG,5.90%,8.75,9.75,73.75,6' 2.75'',7' 11.5'',188.8,79.75,291,lillada01,PG,29,POR,58,58,2140,531,1162,0.457,226,573,0.39399999999999996,305,589,0.518,0.5539999999999999,389,438,0.888,30,220,250,453,59,21,168,98,1677
Damyean Dotson,SG-SF,5.30%,8.5,9.25,76.5,6' 5.5'',8' 4'',205.2,81.0,131,dotsoda01,SG,25,NYK,48,0,836,120,290,0.414,59,163,0.36200000000000004,61,127,0.48,0.516,22,33,0.667,10,81,91,57,23,4,21,44,321
Danny Green,SG-SF,5.60%,-,-,77.25,6' 6.5'',8' 7'',208,82.0,179,greenda02,SG,32,LAL,61,61,1529,178,425,0.419,113,299,0.37799999999999995,65,126,0.516,0.552,32,44,0.727,44,162,206,86,76,29,54,129,501
Dante Exum,SG,6.40%,8.5,9.5,76.5,6' 6'',8' 7'',196.3,81.5,145,exumda01,SG,24,TOT,35,1,485,56,119,0.47100000000000003,15,43,0.349,41,76,0.539,0.534,32,43,0.7440000000000001,12,55,67,40,13,8,31,38,159
Darius Bazley,PF,3.60%,9,9.75,79.75,6' 9'',8' 11'',208.4,84.0,33,bazleda01,PF,19,OKC,53,8,909,88,230,0.38299999999999995,30,100,0.3,58,130,0.446,0.44799999999999995,32,47,0.6809999999999999,21,175,196,29,20,35,40,45,238
Delon Wright,PG,6.60%,8,8.5,76.25,6' 5.5'',8' 5.5'',181.4,79.5,508,wrighde01,SG,27,DAL,65,5,1412,179,381,0.47,45,117,0.385,134,264,0.508,0.529,71,90,0.789,66,193,259,220,76,21,68,83,474
DeMar DeRozan,SG-SF,4.90%,-,-,77.5,6' 6.5'',8' 6.5'',211.2,81.0,123,derozde01,SF,30,SAS,61,61,2091,503,956,0.526,8,30,0.267,495,926,0.535,0.53,338,401,0.843,39,305,344,340,62,14,147,164,1352
DeMarre Carroll,PF-SF,6.30%,-,-,78.25,6' 7.75'',8' 9'',207.2,82.0,84,carrode01,SF,33,TOT,21,0,231,21,54,0.389,7,27,0.259,14,27,0.519,0.45399999999999996,24,36,0.667,11,36,47,18,4,4,16,28,73
Deonte Burton,PG,7.65%,8.25,8,72.0,6' 1.25'',8' 1.5'',192.8,79.0,78,burtode02,SG,26,OKC,34,0,284,39,105,0.371,10,46,0.217,29,59,0.49200000000000005,0.419,6,12,0.5,6,42,48,11,5,10,14,28,94
Derrick Rose,PG,4.60%,-,-,73.5,6' 2.5'',8' 2.5'',196,80.0,419,rosede01,PG,31,DET,50,15,1298,369,753,0.49,45,147,0.306,324,606,0.535,0.52,121,139,0.871,27,94,121,278,40,16,126,49,904
Derrick White,PG,6.20%,8.25,8.5,75.25,6' 4.5'',8' 5.5'',189.8,79.5,494,whitede01,SG,25,SAS,61,13,1468,213,464,0.45899999999999996,57,160,0.35600000000000004,156,304,0.513,0.52,150,175,0.857,30,163,193,206,39,55,75,133,633
Devin Booker,SG,8.30%,8.75,9,76.5,6' 5.75'',8' 6.5'',205.8,80.25,53,bookede01,SG,23,PHO,62,62,2241,544,1118,0.48700000000000004,126,350,0.36,418,768,0.544,0.5429999999999999,405,442,0.9159999999999999,27,231,258,408,45,16,244,188,1619
Dewayne Dedmon,C,8.35%,9,11,82.0,6' 11.5'',9' 1'',238.8,88.0,121,dedmode01,C,30,TOT,44,18,774,102,255,0.4,22,107,0.20600000000000002,80,148,0.541,0.44299999999999995,30,36,0.833,60,189,249,22,25,41,57,133,256
Dillon Brooks,SG-SF,7.50%,8.25,9.25,77.0,6' 6'',8' 4.5'',220.2,78.0,66,brookdi01,SG,24,MEM,65,65,1851,372,925,0.402,132,358,0.369,240,567,0.423,0.474,144,178,0.809,61,152,213,128,57,25,108,246,1020
Donovan Mitchell,SG,5.90%,8.5,9.5,73.25,6' 3'',8' 1'',211.4,82.0,336,mitchdo01,SG,23,UTA,63,63,2165,560,1235,0.45299999999999996,156,428,0.364,404,807,0.501,0.517,249,290,0.8590000000000001,44,232,276,264,66,12,167,154,1525
Donte DiVincenzo,SG,5.00%,8.25,9,75.5,6' 4.5'',8' 1.5'',200.6,78.0,128,divindo01,SG,23,MIL,59,22,1362,209,452,0.462,76,221,0.344,133,231,0.5760000000000001,0.546,60,78,0.769,59,230,289,136,80,18,72,97,554
Dorian Finney-Smith,SF,6.45%,9,9.75,78.5,6' 7.75'',8' 9.5'',212.6,83.75,152,finnedo01,PF,26,DAL,64,61,1898,214,457,0.46799999999999997,99,265,0.374,115,192,0.599,0.5770000000000001,70,97,0.722,125,227,352,97,44,37,63,154,597
Doug McDermott,SF,7.10%,8.75,9.75,78.25,6' 7.75'',8' 7'',218,81.25,319,mcderdo01,PF,28,IND,62,0,1242,241,491,0.491,118,265,0.445,123,226,0.544,0.611,43,52,0.8270000000000001,23,133,156,70,9,4,40,106,643
Draymond Green,PF-SF,11.30%,9,9.5,77.75,6' 7.5'',8' 9'',235.6,85.25,180,greendr01,PF,29,GSW,43,43,1222,123,316,0.389,36,129,0.27899999999999997,87,187,0.465,0.446,63,83,0.759,23,243,266,266,59,33,98,110,345
Dwayne Bacon,SG-SF,7.90%,8.75,10,76.75,6' 6.25'',8' 7.5'',221.6,82.0,21,bacondw01,SG,24,CHO,39,11,687,85,244,0.348,19,67,0.284,66,177,0.373,0.387,35,53,0.66,15,85,100,52,23,2,37,52,224
Dwight Powell,PF,6.20%,9,9.25,81.5,6' 11'',8' 9'',234.4,84.5,402,poweldw01,C,28,DAL,40,37,1061,146,229,0.638,10,39,0.256,136,190,0.716,0.659,74,111,0.667,75,152,227,59,34,22,36,102,376
Edmond Sumner,PG,8.30%,8.25,9,76.0,6' 5.75'',8' 6.5'',176.4,81.0,449,sumneed01,PG,24,IND,25,2,345,47,111,0.423,10,38,0.263,37,73,0.507,0.46799999999999997,10,15,0.667,10,27,37,39,15,8,19,35,114
Elfrid Payton,PG,5.65%,8.75,9,74.5,6' 3.75'',8' 2.5'',185.4,80.0,388,paytoel01,PG,25,NYK,45,36,1246,193,440,0.439,14,69,0.203,179,371,0.48200000000000004,0.455,49,86,0.57,52,160,212,323,70,17,96,89,449
Eric Bledsoe,PG,5.60%,8.5,9.75,72.25,6' 1.5'',8' 2'',191.6,79.5,46,bledser01,PG,30,MIL,56,56,1524,319,662,0.48200000000000004,70,201,0.348,249,461,0.54,0.535,157,193,0.813,41,218,259,302,53,25,140,120,865
Eric Gordon,SG,8.20%,-,-,74.0,6' 3.25'',8' 3'',222,81.0,174,gordoer01,SG,31,HOU,34,13,972,162,438,0.37,92,288,0.319,70,150,0.467,0.475,78,103,0.757,8,57,65,52,22,12,36,68,494
Eric Paschall,SF,6.30%,9,9.5,78.0,6' 7.25'',8' 7.5'',254.4,83.75,383,pascher01,PF,23,GSW,60,26,1654,318,640,0.49700000000000005,37,129,0.287,281,511,0.55,0.526,164,212,0.774,82,193,275,127,32,13,94,125,837
E'Twaun Moore,SG,7.60%,9,10,74.5,6' 4'',8' 3.5'',191.4,81.5,341,mooreet01,SG,30,NOP,51,5,958,174,410,0.424,60,160,0.375,114,250,0.456,0.498,29,43,0.674,29,94,123,73,28,10,38,77,437
Frank Jackson,PG,6.70%,8.25,9,74.0,6' 3.5'',8' 2'',201.6,79.5,238,jacksfr01,PG,21,NOP,51,1,656,99,257,0.385,39,120,0.325,60,137,0.43799999999999994,0.461,48,64,0.75,19,52,71,41,15,4,43,67,285
Frank Kaminsky,C-PF,9.40%,8.5,9.5,83.75,7' 0.75'',9' 1.5'',231.2,83.0,262,kaminfr01,C,26,PHO,32,13,718,127,279,0.455,39,112,0.348,88,167,0.527,0.525,59,88,0.67,30,128,158,71,13,10,33,69,352
Gary Harris,SG,4.55%,8.5,9.5,74.5,6' 4.5'',8' 0'',204.8,78.75,196,harriga01,SG,25,DEN,56,55,1780,218,519,0.42,70,210,0.33299999999999996,148,309,0.479,0.48700000000000004,75,92,0.815,26,137,163,118,76,14,60,116,581
George Hill,PG,3.00%,-,-,73.25,6' 2.5'',8' 1.5'',181,81.0,213,hillge01,PG,33,MIL,52,0,1103,178,336,0.53,73,152,0.48,105,184,0.5710000000000001,0.638,69,83,0.831,45,109,154,151,42,4,49,75,498
Georges Niang,PF,10.05%,9.25,9.25,78.75,6' 8.5'',8' 7'',230.8,82.0,360,niangge01,PF,26,UTA,58,0,772,120,265,0.45299999999999996,77,185,0.41600000000000004,43,80,0.5379999999999999,0.598,19,22,0.8640000000000001,12,97,109,35,13,5,26,63,336
Glenn Robinson III,SF,5.05%,9,9.5,77.5,6' 6.75'',8' 4.5'',211.4,82.0,413,robingl02,SF,26,TOT,60,52,1743,281,578,0.486,74,191,0.387,207,387,0.535,0.55,72,83,0.867,78,182,260,96,53,16,53,97,708
Gordon Hayward,SF,6.90%,8.5,9.25,78.75,6' 8'',8' 7'',211,79.75,204,haywago01,SF,29,BOS,45,45,1501,305,607,0.502,74,189,0.392,231,418,0.5529999999999999,0.563,94,111,0.847,45,249,294,185,35,20,79,81,778
Gorgui Dieng,C,5.35%,9,10,81.75,6' 10.75'',9' 3.5'',229.6,87.5,126,dienggo01,C,30,TOT,58,17,1012,158,343,0.461,51,142,0.359,107,201,0.532,0.535,61,83,0.735,87,249,336,71,48,56,55,112,428
Grant Williams,PF,5.40%,9,10.5,77.75,6' 7.5'',8' 8.5'',240.2,81.75,497,willigr01,PF,21,BOS,62,5,970,80,192,0.41700000000000004,21,85,0.247,59,107,0.551,0.47100000000000003,37,51,0.725,58,107,165,62,28,33,46,149,218
Grayson Allen,SG,5.55%,8.25,10,75.0,6' 4.5'',8' 1'',198,79.25,5,allengr01,SG,24,MEM,30,0,498,79,176,0.449,33,91,0.363,46,85,0.541,0.5429999999999999,30,35,0.857,5,61,66,43,6,1,23,36,221
Hamidou Diallo,SG,4.45%,8.75,9,76.25,6' 6'',8' 7'',197,83.5,125,diallha01,SF,21,OKC,38,3,699,99,219,0.452,7,35,0.2,92,184,0.5,0.46799999999999997,28,45,0.622,29,93,122,22,28,8,37,82,233
Harrison Barnes,SF-SG,9.60%,9,8.5,79.0,6' 8'',8' 5.5'',227.8,83.25,26,barneha02,PF,27,SAC,64,64,2231,326,711,0.45899999999999996,93,243,0.38299999999999995,233,468,0.498,0.524,196,244,0.8029999999999999,61,245,306,152,38,10,80,82,941
Isaiah Thomas,PG,6.70%,8.25,9,68.75,5' 10.25'',7' 7.5'',186,73.75,455,thomais02,PG,30,WAS,40,37,925,174,426,0.408,78,189,0.413,96,237,0.405,0.5,62,76,0.816,11,57,68,146,13,6,77,77,488
Jacob Evans,SG-SF,6.50%,9,9.25,76.25,6' 5.5'',8' 6.5'',199.6,81.25,144,evansja02,SG,22,TOT,29,1,418,45,134,0.336,13,39,0.33299999999999996,32,95,0.337,0.384,25,29,0.862,9,32,41,31,11,12,25,41,128
Jae Crowder,SF,9.00%,9.5,10.5,76.75,6' 6.5'',8' 3.5'',241.2,81.25,113,crowdja01,SF,29,TOT,58,46,1695,197,513,0.384,113,355,0.318,84,158,0.532,0.494,95,121,0.785,48,305,353,151,67,21,62,126,602
Jake Layman,SF,7.10%,8.25,9.25,80.0,6' 9.25'',8' 6'',208.6,81.25,282,laymaja01,PF,25,MIN,23,2,505,81,179,0.45299999999999996,24,72,0.33299999999999996,57,107,0.5329999999999999,0.52,24,32,0.75,17,40,57,15,17,10,24,47,210
Jalen Brunson,PG,6.70%,8.25,9.25,73.0,6' 2.25'',8' 0'',198.4,76.0,73,brunsja01,PG,23,DAL,57,16,1022,181,388,0.466,43,120,0.358,138,268,0.515,0.522,61,75,0.813,22,112,134,188,22,4,66,74,466
Jalen McDaniels,SF,5.70%,9,10,80.25,6' 9.75'',8' 9.5'',191.6,84.25,318,mcdanja01,PF,22,CHO,16,0,293,33,70,0.47100000000000003,9,24,0.375,24,46,0.522,0.536,14,17,0.8240000000000001,15,50,65,13,8,3,11,36,89
James Ennis,SF,4.50%,8.5,8.75,77.75,6' 7'',8' 8.5'',200.8,83.5,142,ennisja01,SF,29,TOT,61,10,1053,128,294,0.435,47,139,0.33799999999999997,81,155,0.523,0.515,63,78,0.8079999999999999,61,138,199,54,29,20,43,109,366
James Harden,SG,10.10%,-,-,76.0,6' 5.25'',8' 7.5'',222,82.75,192,hardeja01,SG,30,HOU,61,61,2241,603,1386,0.435,271,769,0.35200000000000004,332,617,0.5379999999999999,0.5329999999999999,619,719,0.861,64,324,388,450,106,53,273,206,2096
James Johnson,SF-PF,12.00%,-,-,79.0,6' 7.75'',8' 9.5'',257.2,84.75,251,johnsja01,PF,32,TOT,32,1,619,103,215,0.479,33,91,0.363,70,124,0.565,0.556,31,48,0.6459999999999999,25,93,118,74,25,32,48,80,270
JaMychal Green,PF,9.80%,9.25,9.25,80.0,6' 9'',8' 10.5'',217.4,86.25,181,greenja01,PF,29,LAC,55,0,1130,125,302,0.414,74,204,0.363,51,98,0.52,0.536,32,44,0.727,75,273,348,43,25,20,45,146,356
Jarrett Culver,SG,5.00%,8.25,8.5,77.25,6' 6.75'',8' 4.5'',194.2,81.5,114,culveja01,SG,20,MIN,63,35,1506,230,569,0.40399999999999997,66,221,0.299,164,348,0.47100000000000003,0.462,54,117,0.462,70,142,212,110,57,38,81,125,580
Jaylen Brown,SG-SF,5.05%,8.75,9,77.25,6' 6.75'',8' 6.5'',222.8,83.75,69,brownja02,SF,23,BOS,50,50,1702,378,772,0.49,107,281,0.381,271,491,0.552,0.5589999999999999,159,216,0.736,54,264,318,109,56,16,116,151,1022
Jaylen Nowell,SG,6.10%,8.25,8.5,75.25,6' 4.25'',8' 2'',202.4,79.25,363,nowelja01,SG,20,MIN,15,0,151,19,53,0.358,3,26,0.115,16,27,0.593,0.387,16,17,0.941,3,10,13,19,3,1,3,11,57
Jeff Green,SF,3.70%,-,-,79.0,6' 9.5'',8' 7'',228,85.25,183,greenje02,PF,33,TOT,40,2,754,116,261,0.444,48,138,0.348,68,123,0.5529999999999999,0.536,57,73,0.7809999999999999,23,90,113,32,21,15,36,65,337
Jeff Teague,PG,4.50%,-,-,72.25,6' 1.5'',8' 2.5'',175.2,79.5,452,teaguje01,PG,31,TOT,59,17,1464,213,489,0.436,43,117,0.368,170,372,0.457,0.48,172,197,0.873,27,115,142,308,44,19,116,106,641
Jerami Grant,SF,3.75%,9.25,9.25,78.5,6' 7.75'',8' 11'',214,86.75,177,grantje01,PF,25,DEN,64,22,1676,263,558,0.47100000000000003,88,220,0.4,175,338,0.518,0.55,128,172,0.7440000000000001,53,174,227,79,44,52,55,141,742
Jeremy Lamb,SG,4.50%,8.75,9.25,76.0,6' 5.25'',8' 6'',179.2,83.0,278,lambje01,SG,27,IND,46,42,1291,216,479,0.451,53,158,0.335,163,321,0.508,0.506,92,110,0.836,24,176,200,96,55,22,50,104,577
Jerome Robinson,SG,6.05%,9,10,76.0,6' 5'',8' 2'',188.4,79.25,414,robinje01,SG,22,TOT,55,4,748,75,216,0.34700000000000003,31,104,0.298,44,112,0.39299999999999996,0.419,20,29,0.69,9,97,106,65,22,14,34,83,201
Jevon Carter,PG,4.15%,9.25,8.5,72.25,6' 1.5'',7' 11'',196.2,76.25,85,carteje01,PG,24,PHO,50,2,754,82,205,0.4,46,117,0.39299999999999996,36,88,0.409,0.512,21,25,0.84,25,73,98,65,38,13,31,76,231
Jimmy Butler,SF,5.40%,9,9,78.0,6' 7.75'',8' 5.5'',222.2,79.5,79,butleji01,SF,30,MIA,54,54,1851,328,722,0.45399999999999996,29,117,0.248,299,605,0.494,0.474,408,490,0.833,98,261,359,331,92,29,118,74,1093
Joe Harris,SG,6.20%,8.5,9.75,76.75,6' 6.25'',8' 4'',215,78.0,197,harrijo01,SF,28,BRK,63,63,1946,332,705,0.47100000000000003,152,369,0.41200000000000003,180,336,0.536,0.579,62,83,0.747,60,212,272,130,38,16,93,138,878
Joe Ingles,SF,10.10%,-,-,79.75,6' 8.25'',8' 9'',209.2,82.25,233,inglejo01,SF,32,UTA,64,37,1916,218,494,0.441,123,310,0.397,95,184,0.516,0.5660000000000001,65,84,0.774,23,233,256,331,57,9,124,135,624
John Collins,PF,5.40%,9,10,80.25,6' 9.5'',8' 10.5'',225.2,83.25,104,collijo01,PF,22,ATL,41,41,1363,353,605,0.583,59,147,0.401,294,458,0.642,0.632,120,150,0.8,116,300,416,60,31,66,75,138,885
John Henson,PF,8.60%,9.25,10,81.0,6' 10.5'',9' 4'',216,89.0,205,hensojo01,PF,29,TOT,40,8,600,95,171,0.556,8,36,0.222,87,135,0.644,0.579,23,46,0.5,46,116,162,54,24,42,36,78,221
Jordan Bell,PF,5.40%,9.25,9.5,79.0,6' 8.5'',8' 8.5'',223.6,83.75,37,belljo01,C-PF,25,TOT,29,0,256,35,67,0.522,4,12,0.33299999999999996,31,55,0.564,0.552,19,31,0.613,30,51,81,16,3,10,21,19,93
Jordan Clarkson,PG,4.30%,8.25,9,75.25,6' 5'',8' 2'',186.3,80.0,99,clarkjo01,SG,27,TOT,63,0,1527,350,753,0.465,130,353,0.368,220,400,0.55,0.551,122,145,0.841,47,120,167,124,43,15,82,92,952
